cohort,run_key,solution_id,is_representative,decision_hash,period,demand,delivered,cumulative_delivered,satisfaction,first_service_period,first_topology_time_period,global_supply_at_first_path,stocked_feasible_supplier_at_period_start
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,0,11.077738515858073,11.077738515858073,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,2,14.138692579450435,14.138692579450435,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,5,22.884275618285756,22.884275618285756,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,7,15.0,15.0,0.09259259259259259,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,8,17.34540636035672,17.34540636035672,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,13,0.0,0.0,0.0,2,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,14,15.159010600647889,15.159010600647889,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,17,17.782685512298485,17.782685512298485,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,24,22.009717314402224,22.009717314402224,0.145759717313922,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,2,0,9.090293298675533,20.168031814533606,0.26536883966491587,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,2,2,11.602084868046404,25.74077744749684,0.26536883966491587,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,2,5,18.778632209106036,41.66290782739179,0.26536883966491587,1,1,1018.8000000000002,True
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,2,7,27.98975202571637,42.98975202571637,0.26536883966491587,1,1,1018.8000000000002,True
