cohort,run_key,solution_id,is_representative,decision_hash,period,end_hours,total_satisfaction,min_satisfaction,zero_service_ratio,remaining_supply,remaining_supply_1,remaining_supply_12,remaining_supply_4,remaining_supply_16,remaining_supply_2,remaining_supply_3
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,1,8,0.11960912235097136,0.0,0.1111111111111111,883.4024734987006,390.8691774688883,492.5332960298123,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,2,16,0.24044559504323046,0.06944444444444445,0.0,746.6155864110633,315.3958212654112,431.2197651456521,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,3,24,0.3635784881701598,0.20833333333333334,0.0,607.2291513913792,239.14800699676687,368.0811443946124,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,4,32,0.48871567757816375,0.3472222222222222,0.0,465.5738529815188,161.45115143338433,304.1227015481345,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,5,40,0.611185238651446,0.4513888888888889,0.0,326.93830984656324,82.48958491703111,244.44872492953215,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,6,48,0.7357434774681871,0.5902777777777778,0.0,185.93838350601237,5.211291879695459,180.7270916263169,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,7,56,0.8444568519834598,0.5902777777777778,0.0,62.874843554723796,0.0,62.874843554723796,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,8,64,0.8999999999998318,0.8999999999998317,0.0,1.9061019429500448e-10,0.0,1.9061019429500448e-10,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,9,72,0.8999999999998318,0.8999999999998317,0.0,1.9061019429500448e-10,0.0,1.9061019429500448e-10,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,1,8,0.11743185705856614,0.0,0.2222222222222222,885.8671378097033,408.6518629811868,477.2152748285165,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,2,16,0.23412833522952142,0.034722222222222224,0.0,753.7667245201819,348.8790477384797,404.8876767817022,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,3,24,0.3536478762484609,0.1736111111111111,0.0,618.4706040867425,289.4805403491875,328.990063737555,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,4,32,0.4756313625794976,0.3125,0.0,480.3852975600089,228.64509397053624,251.74020358947263,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,5,40,0.5997653594829689,0.4513888888888889,0.0,339.8656130652794,166.55549942821102,173.31011363706833,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,6,48,0.7213593426464031,0.5555555555555556,0.0,202.22122412427183,103.37129500414945,98.8499291201224,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,7,56,0.8451533844885918,0.6944444444444444,0.0,62.08636875891424,41.47995757402089,20.606411184893354,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,8,64,0.8999999999998133,0.8999999999998132,0.0,2.1150725615370902e-10,2.1150725615370902e-10,0.0,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,9,72,0.8999999999998133,0.8999999999998132,0.0,2.1150725615370902e-10,2.1150725615370902e-10,0.0,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,1,8,0.11743185705856614,0.0,0.2222222222222222,885.8671378097033,412.87889478329055,472.98824302641276,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,2,16,0.24296225749100553,0.10416666666666667,0.0,743.7667245201819,336.50904374298227,407.25768077719965,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,3,24,0.3701919709432098,0.24305555555555555,0.0,599.7426888922867,266.7141411021829,333.02854779010374,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,4,32,0.48565394699478504,0.2777777777777778,0.0,469.03973200190353,195.97442042297948,273.0653115789241,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,5,40,0.6129299472944647,0.4861111111111111,0.0,324.9632996626662,131.7775617381455,193.1857379245207,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,6,48,0.7284323221141943,0.5208333333333334,0.0,194.2146113667323,61.012105571607776,133.20250579512452,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,7,56,0.8529103534691574,0.7291666666666666,0.0,53.30547987291391,0.0,53.30547987291391,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,8,64,0.8999999999999773,0.8999999999999773,0.0,2.5970336992031662e-11,0.0,2.5970336992031662e-11,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,9,72,0.8999999999999773,0.8999999999999773,0.0,2.5970336992031662e-11,0.0,2.5970336992031662e-11,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,1,8,0.11960912235097136,0.0,0.1111111111111111,883.4024734987006,390.8691774688883,492.5332960298123,,,,
