cohort,run_key,solution_id,is_representative,decision_hash,F1,F2,F3,F3_key,min_satisfaction,total_satisfaction,zero_service_ratio,remaining_supply,cumulative_min_service_shortfall_hours
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0001,False,3e648c67f60139cf,3.796265548754718,3255.2124555126506,-0.8999999999998317,-90000000,0.8999999999998317,0.8999999999998318,0.0,1.9061019429500448e-10,39.54444444444714
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0002,False,352174b29453b648,3.852882482266363,3037.6543461028964,-0.8999999999998132,-90000000,0.8999999999998132,0.8999999999998133,0.0,2.1150725615370902e-10,39.822222222225214
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0003,False,37c146a665593b53,3.789487344634663,3294.8513050633737,-0.8999999999999773,-90000000,0.8999999999999773,0.8999999999999773,0.0,2.5970336992031662e-11,38.71111111111148
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,3.79962976612343,3189.0536878896487,-0.8999999999998317,-90000000,0.8999999999998317,0.8999999999998318,0.0,1.9062440514971968e-10,39.54444444444714
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,3.787971384496303,3308.698174805985,-0.8999999999999773,-90000000,0.8999999999999773,0.8999999999999773,0.0,2.5920599000528455e-11,38.71111111111148
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0006,False,2b0dc1f4a658a7ec,3.8405568695418766,3149.22320598986,-0.8999999999999435,-90000000,0.8999999999999435,0.8999999999999436,0.0,6.403411134670023e-11,44.78616425364727
historical_S025,S025:i101:nsga2_alns:s1060001:r1:6042496f55c9,p0001,True,4bb529504ddde22b,3.792777138995903,3132.5275730429476,-0.8999999999999527,-90000000,0.8999999999999527,0.8999999999999527,0.0,5.3731241678178776e-11,39.18332985967824
historical_S025,S025:i101:nsga2_alns:s1060002:r2:094a953d55dc,p0001,True,e315e9b7a2f04bfe,3.803474235509807,3126.1152562577013,-0.899999999999744,-90000000,0.899999999999744,0.8999999999997441,0.0,2.8988722533540567e-10,39.496793843049716
historical_S025,S025:i101:nsga2_ls:s1060000:r0:09278e7b2cfa,p0001,False,2e936904a5e41510,3.819479348843992,3524.0256686306425,-0.8999999999997318,-90000000,0.8999999999997318,0.8999999999997319,0.0,3.037143869732972e-10,45.49473684210955
historical_S025,S025:i101:nsga2_ls:s1060000:r0:09278e7b2cfa,p0002,True,a7a66674d210ea2b,3.7859999810272447,3561.2401549871156,-0.899999999999957,-90000000,0.899999999999957,0.8999999999999571,0.0,4.884270765614929e-11,37.24040615224513
historical_S025,S025:i101:nsga2_ls:s1060000:r0:09278e7b2cfa,p0003,False,25520ece1004f590,3.8393812474948588,3186.2394044603816,-0.8999999999999472,-90000000,0.8999999999999472,0.8999999999999473,0.0,5.981348749628523e-11,45.49473684210611
