case_id,solver_seed,max_evaluations,pop_size,workers,runtime_seconds,evaluations,cache_hits,front_size,hypervolume,igd,max_abs_delta_vs_serial,front_identical_to_serial
WEN38,11,1600,32,0,68.47222836408764,1600,76,56,0.9947323444356324,0.018666630499987697,0.0,True
WEN38,11,1600,32,1,70.2647610604763,1600,76,56,0.9947323444356324,0.018666630499987697,0.0,True
WEN38,11,1600,32,2,37.030443316325545,1600,76,56,0.9947323444356324,0.018666630499987697,0.0,True
WEN38,11,1600,32,4,23.064929337240756,1600,76,56,0.9947323444356324,0.018666630499987697,0.0,True
WEN38,11,1600,32,8,20.453706063330173,1600,76,56,0.9947323444356324,0.018666630499987697,0.0,True
WEN38,22,1600,32,0,69.47566953394562,1600,74,41,0.6536534195624559,0.14666003689037987,0.0,True
WEN38,22,1600,32,1,71.41780986636877,1600,74,41,0.6536534195624559,0.14666003689037987,0.0,True
WEN38,22,1600,32,2,39.28149497229606,1600,74,41,0.6536534195624559,0.14666003689037987,0.0,True
WEN38,22,1600,32,4,22.231091673485935,1600,74,41,0.6536534195624559,0.14666003689037987,0.0,True
WEN38,22,1600,32,8,21.696209560148418,1600,74,41,0.6536534195624559,0.14666003689037987,0.0,True
WEN38,33,1600,32,0,70.96976731903851,1600,88,35,0.7184957589741789,0.10660204516868499,0.0,True
WEN38,33,1600,32,1,70.50724878069013,1600,88,35,0.7184957589741789,0.10660204516868499,0.0,True
WEN38,33,1600,32,2,38.87397016771138,1600,88,35,0.7184957589741789,0.10660204516868499,0.0,True
WEN38,33,1600,32,4,22.634003314189613,1600,88,35,0.7184957589741789,0.10660204516868499,0.0,True
WEN38,33,1600,32,8,20.483008754439652,1600,88,35,0.7184957589741789,0.10660204516868499,0.0,True
S025,11,1600,32,1,77.33363386243582,1600,81,2,0.23100000000000023,0.30480099930577914,0.0,True
S025,11,1600,32,2,42.16193155013025,1600,81,2,0.23100000000000023,0.30480099930577914,0.0,True
S025,11,1600,32,4,23.183244208805263,1600,81,2,0.23100000000000023,0.30480099930577914,0.0,True
S025,11,1600,32,8,23.442275192588568,1600,81,2,0.23100000000000023,0.30480099930577914,0.0,True
S025,22,1600,32,1,77.89528496935964,1600,82,6,0.3943620531549867,0.07951875426900573,0.0,True
S025,22,1600,32,2,41.957798505201936,1600,82,6,0.3943620531549867,0.07951875426900573,0.0,True
S025,22,1600,32,4,22.72801547590643,1600,82,6,0.3943620531549867,0.07951875426900573,0.0,True
S025,22,1600,32,8,23.03866060450673,1600,82,6,0.3943620531549867,0.07951875426900573,0.0,True
S050,11,800,32,1,154.98090857081115,800,31,10,1.0529309501360242,0.0,0.0,True
S050,11,800,32,2,80.79264063667506,800,31,10,1.0529309501360242,0.0,0.0,True
S050,11,800,32,4,42.91891965456307,800,31,10,1.0529309501360242,0.0,0.0,True
S050,11,800,32,8,34.79287294391543,800,31,10,1.0529309501360242,0.0,0.0,True
S050,22,800,32,1,158.75581638514996,800,45,10,0.6199400370338892,0.3037606783624588,0.0,True
S050,22,800,32,2,83.66053061001003,800,45,10,0.6199400370338892,0.3037606783624588,0.0,True
S050,22,800,32,4,43.65591050405055,800,45,10,0.6199400370338892,0.3037606783624588,0.0,True
S050,22,800,32,8,35.56698770727962,800,45,10,0.6199400370338892,0.3037606783624588,0.0,True
M100,11,400,32,1,247.50159704778343,400,18,24,0.8146344932661487,0.08524227923747603,0.0,True
M100,11,400,32,2,124.59091335441917,400,18,24,0.8146344932661487,0.08524227923747603,0.0,True
M100,11,400,32,4,64.74095604382455,400,18,24,0.8146344932661487,0.08524227923747603,0.0,True
M100,11,400,32,8,50.32448857743293,400,18,24,0.8146344932661487,0.08524227923747603,0.0,True
M100,22,400,32,1,245.67105695512146,400,22,23,0.8540509227651107,0.07070772014989449,0.0,True
M100,22,400,32,2,126.34652560390532,400,22,23,0.8540509227651107,0.07070772014989449,0.0,True
M100,22,400,32,4,66.4521961947903,400,22,23,0.8540509227651107,0.07070772014989449,0.0,True
M100,22,400,32,8,50.77057665772736,400,22,23,0.8540509227651107,0.07070772014989449,0.0,True
