run_key,model_group,solution_id,decision_hash,planning_F1,planning_F2,planning_F3,replay_F1,replay_F2,replay_F3,replay_minus_planning_F1,replay_minus_planning_F2,replay_minus_planning_F3
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:3e54e326a4da,PR0_HT1_EC1,p0002,f0ce47a1acf87c0c,3.8187093233265035,3714.895912971369,-0.8999999999998799,3.8187093233265035,3714.895912971369,-0.8999999999998799,0.0,0.0,0.0
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b369147f3f14,PR1_HT0_EC1,p0003,f82b16ab4d8ccac7,3.819881295891957,3330.8204073728066,-0.8999999999997206,3.819881295891957,3330.8204073728066,-0.8999999999997206,0.0,0.0,0.0
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:be73b5860c4f,PR1_HT1_EC0,p0003,f82b16ab4d8ccac7,3.819881295891957,3330.8204073728066,-0.8999999999997206,3.819881295891957,3330.8204073728066,-0.8999999999997206,0.0,0.0,0.0
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:0308a08a8570,PR1_HT1_EC1,p0003,f82b16ab4d8ccac7,3.819881295891957,3330.8204073728066,-0.8999999999997206,3.819881295891957,3330.8204073728066,-0.8999999999997206,0.0,0.0,0.0
S025:i101:nsga2:s1060001:r1:PR0_HT1_EC1:a8aa4bbc9a00,PR0_HT1_EC1,p0006,2057d76693e4afa8,3.7962248262832894,3420.7022802754796,-0.8999999999997058,3.7962248262832894,3420.7022802754796,-0.8999999999997058,0.0,0.0,0.0
S025:i101:nsga2:s1060001:r1:PR1_HT0_EC1:38091f448ac0,PR1_HT0_EC1,p0002,1e89edb27ecfb1b3,3.8079918143095757,3543.3687426698216,-0.8999999999999769,3.8079918143095757,3543.3687426698216,-0.8999999999999769,0.0,0.0,0.0
S025:i101:nsga2:s1060001:r1:PR1_HT1_EC0:8634fffdf464,PR1_HT1_EC0,p0002,1e89edb27ecfb1b3,3.8079918143095757,3543.3687426698216,-0.8999999999999769,3.8079918143095757,3543.3687426698216,-0.8999999999999769,0.0,0.0,0.0
S025:i101:nsga2:s1060001:r1:PR1_HT1_EC1:77b7981b7ac3,PR1_HT1_EC1,p0002,1e89edb27ecfb1b3,3.8079918143095757,3543.3687426698216,-0.8999999999999769,3.8079918143095757,3543.3687426698216,-0.8999999999999769,0.0,0.0,0.0
