model_group,runs,solutions,runs_with_any_F1_change,mean_of_run_mean_delta_F1,mean_of_run_median_delta_F1,worst_run_max_abs_delta_F1,worst_run_F1,worst_run_F1_solution,runs_with_any_F2_change,mean_of_run_mean_delta_F2,mean_of_run_median_delta_F2,worst_run_max_abs_delta_F2,worst_run_F2,worst_run_F2_solution,runs_with_any_F3_change,mean_of_run_mean_delta_F3,mean_of_run_median_delta_F3,worst_run_max_abs_delta_F3,worst_run_F3,worst_run_F3_solution
PR1_HT1_EC1,2,10,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:0308a08a8570,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:0308a08a8570,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:0308a08a8570,p0001
PR0_HT1_EC1,2,12,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:3e54e326a4da,p0001,1,-2.0904310378886826,0.0,25.08517245466419,S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:3e54e326a4da,p0004,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:3e54e326a4da,p0001
PR1_HT0_EC1,2,10,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b369147f3f14,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b369147f3f14,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b369147f3f14,p0001
PR1_HT1_EC0,2,10,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:be73b5860c4f,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:be73b5860c4f,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:be73b5860c4f,p0001
