run_key,case_id,size_group,instance_seed,solver_seed,algorithm,point_id,decision_hash,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,crowding_distance,representative
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0001,999aa186d3a757ad,3.8644428275259193,3384.9466844336393,-0.8999999999999987,0.8999999999999988,0.8999999999999987,,True
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0002,8c4e43e62dbb2f23,4.00350380100028,3247.621081213842,-0.8999999999999954,0.8999999999999955,0.8999999999999954,0.01715242282232869,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0003,620c64b01c0d7791,4.00350380100028,3247.621081213842,-0.8999999999999954,0.8999999999999955,0.8999999999999954,0.0,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0004,a9a8f9b9c862a79b,4.00350380100028,3247.621081213842,-0.8999999999999954,0.8999999999999955,0.8999999999999954,,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0005,f4cbcc931fcae2b6,3.9212990218521773,3361.2767763846664,-0.8999999999999954,0.8999999999999955,0.8999999999999954,0.18133541941423303,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0006,90bbdf0b421c317b,3.9212990218521773,3361.2767763846664,-0.8999999999999954,0.8999999999999955,0.8999999999999954,0.0,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0007,0107dd7ad806de5d,3.9212990218521773,3361.2767763846664,-0.8999999999999954,0.8999999999999955,0.8999999999999954,0.1359316889769442,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0008,2c3b4b73e5075b9c,3.827386106066705,3420.9342122559074,-0.8999999999999954,0.8999999999999955,0.8999999999999954,0.2595922509725323,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0009,3c93f13070c8419f,3.849885012427961,3243.6649143306604,-0.8999999999999946,0.8999999999999947,0.8999999999999946,0.2067706045126773,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0010,309a4b8fb687630f,3.9406548134585924,3228.3934387854542,-0.8999999999999911,0.8999999999999913,0.8999999999999911,0.39713689728575186,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0011,02a89fa5b6c20bcd,3.8181611891170073,3637.0952399020694,-0.899999999999957,0.8999999999999571,0.899999999999957,,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0012,11a3762960ea5fc9,4.001502129273318,3224.7842677028493,-0.8999999999999492,0.8999999999999493,0.8999999999999492,0.4407380977257669,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0013,7b17ac2fcd3b1f4c,3.8239671175662453,3226.6439994394213,-0.8999999999999387,0.8999999999999388,0.8999999999999387,0.031210782814401886,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0014,66f523f44732e4a5,3.9196569473911165,3149.2345698981944,-0.8999999999999374,0.8999999999999375,0.8999999999999374,,False
S025:i101:nsga2:s1060000:r0:82602a539edf,S025,small,101,1060000,nsga2,p0015,0d66ce1c55ccf6ee,3.7835472134169357,3496.7301004594565,-0.8999999999999283,0.8999999999999284,0.8999999999999283,0.36149911461988815,False
