run_key,case_id,instance_seed,solver_seed,algorithm,evaluations,unmet_area,time_cost,neg_min_satisfaction,final_total_satisfaction,final_min_satisfaction
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,16.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,30.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,46.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,60.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,76.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,92.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,106.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,121.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,137.0,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,153.0,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,169.0,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,183.0,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,199.0,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,S025,101,1060000,nsga2,200.0,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,S025,101,1060000,nsga2,16.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,S025,101,1060000,nsga2,30.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,S025,101,1060000,nsga2,46.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,S025,101,1060000,nsga2,60.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,S025,101,1060000,nsga2,76.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,S025,101,1060000,nsga2,92.0,4.323837164030483,3794.6857260265433,-0.8999999999999966,0.8999999999999967,0.8999999999999966
