case_id,instance_seed,point_id,F1,F2,F3
S025,101,1,3.817088251933488,3389.6931939119236,-0.8999999999997058
S025,101,2,3.8197505071012188,3511.226073420821,-0.8999999999998027
S025,101,3,3.820253964737538,3176.9229332174054,-0.8999999999997499
S025,101,4,3.8203926949919986,3602.267109765886,-0.8999999999998799
S025,101,5,3.822754443393368,3569.2200388402166,-0.8999999999998798
S025,101,6,3.8229813472995664,3430.6642639555935,-0.8999999999998027
S025,101,7,3.823383896191615,3430.941423097278,-0.8999999999999361
S025,101,8,3.8299607470847343,3421.183545002269,-0.8999999999998598
S025,101,9,3.844983206263548,3326.016516346306,-0.8999999999998799
S025,101,10,3.8512475983753838,3470.385303874847,-0.8999999999999386
S025,101,11,3.854930718887653,3379.743740248882,-0.8999999999999472
S025,101,12,3.8552351594670617,3299.2099038029883,-0.8999999999998994
S025,101,13,3.8553839155216636,3280.643789818383,-0.8999999999999773
S025,101,14,3.8603400719669736,3253.743457680417,-0.8999999999999472
S025,101,15,3.8778411804482875,3428.0637029567242,-0.8999999999999845
S025,101,16,3.88564378802858,3233.4997244594097,-0.8999999999999769
S025,101,17,3.893569266139737,3155.0133975241492,-0.8999999999996224
S025,101,18,3.897833949400034,3260.806487668376,-0.8999999999999773
S025,101,19,3.9004308293093493,3186.1990725973865,-0.8999999999999472
S025,101,20,3.9063840051677365,3239.8021495772355,-0.8999999999999925
S025,101,21,3.9096835398687766,3107.0959974500065,-0.8999999999996001
S025,101,22,3.929164510803779,3429.2451426900734,-0.8999999999999948
S025,101,23,3.93580679989555,3163.172307052335,-0.8999999999997136
S025,101,24,3.985162695399068,3175.3076810418565,-0.8999999999998383
S025,101,25,4.081616464941863,3503.657384237681,-0.8999999999999954
S025,101,26,4.103827141290869,3127.8343766374082,-0.8999999999998516
S025,101,27,4.323837164030483,3780.4318118489027,-0.8999999999999966
