run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,actual_evaluations,unique_decisions,evaluation_snapshots,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,quality_precision,quality_effective_dimensions,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,benchmark,wenchuan,case_study,38,1,60000,0,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,741f40313babe82b,500,500,budget_exhausted,531.0,31.0,0.0,500.0,480.0,500.0,,,,,,8.556544416991528,33,45,v2_service_resolution,3,0.6937300214561347,0.09851056101890428,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299,0.8222222222222223,1.0,0.0,0.0,9000.0,23.257688220823546,0.0,0.0,738.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,benchmark,wenchuan,case_study,38,1,60000,0,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,823b3154a1b29d06,500,500,budget_exhausted,531.0,31.0,0.0,500.0,482.0,500.0,,,,,,8.647263457998633,28,45,v2_service_resolution,3,0.9302345782667022,0.07644468368851211,2.464202792774178,125195.66666666667,-0.45048160039550567,0.7973068745570517,0.45048160039550567,0.911111111111111,1.0,0.0,0.0,9000.0,19.713622342193425,0.0,0.0,859.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,benchmark,wenchuan,case_study,38,1,60000,0,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,eff43348491cb4cfafd4d33265d0430f45b06053eb35313886f5a3d54a9c7886,b12291b3eff8fca1,500,500,budget_exhausted,531.0,31.0,0.0,500.0,476.0,500.0,,,,,,2.903111708990764,18,45,v2_service_resolution,3,0.739289615350475,0.22749261981059912,2.6443045238338136,115276.66666666669,-0.4349222030141391,0.7973068745570517,0.4349222030141391,0.8698412698412699,1.0,0.0,0.0,9000.0,21.15443619067051,2.0,0.0,829.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38,benchmark,wenchuan,case_study,38,1,60000,0,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,b12291b3eff8fca1,500,500,budget_exhausted,531.0,31.0,0.0,500.0,476.0,500.0,,,,,,8.957674375007628,18,45,v2_service_resolution,3,0.739289615350475,0.22749261981059912,2.6443045238338136,115276.66666666669,-0.4349222030141391,0.7973068745570517,0.4349222030141391,0.8698412698412699,1.0,0.0,0.0,9000.0,21.15443619067051,2.0,0.0,829.0
WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,WEN38,benchmark,wenchuan,case_study,38,1,60001,1,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5a3987e94130527bc1b444c25fcb2f83e76b24620c83c0f6215f19f2d3e15bf7,7660a3b94feb8f4b,500,500,budget_exhausted,533.0,33.0,0.0,500.0,480.0,500.0,,,,,,8.348119083995698,33,45,v2_service_resolution,3,0.5213921917978879,0.16449938191748054,2.877201896163914,140733.0,-0.33313902652389515,0.7973068745570517,0.33313902652389515,0.7904761904761904,1.0,0.0,0.0,9000.0,23.017615169311313,0.0,0.0,870.0
WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,WEN38,benchmark,wenchuan,case_study,38,1,60001,1,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,716feb78a89b882a20ab8d73b90dc7f2cce92e24a8065d5faecffada3f9967e4,e51cc80a803239cc,500,500,budget_exhausted,533.0,33.0,0.0,500.0,473.0,500.0,,,,,,8.597391083021648,19,45,v2_service_resolution,3,0.5914987800624463,0.19321610211355925,2.7652941711196948,115553.66666666667,-0.33313902652480465,0.7973068745570037,0.33313902652480465,0.8158730158730159,1.0,0.0,5.411493475548923e-10,8999.999999999458,22.122353368957558,0.0,0.0,845.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,WEN38,benchmark,wenchuan,case_study,38,1,60001,1,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,eff43348491cb4cfafd4d33265d0430f45b06053eb35313886f5a3d54a9c7886,aacc90007cf45364,500,500,budget_exhausted,533.0,33.0,0.0,500.0,485.0,500.0,,,,,,2.8790981670026667,27,45,v2_service_resolution,3,0.7050898306100158,0.15109091984477374,2.6287423963597236,149233.6666666667,-0.4430379746845574,0.7973068745570517,0.4430379746845574,0.873015873015873,1.0,0.0,0.0,9000.0,21.02993917087779,0.0,0.0,862.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38,benchmark,wenchuan,case_study,38,1,60001,1,nsga2,v2,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,0211d5313450418ddc20712d3c36e63ff4b64637bfb9f717eca80fcb394b1e6b,aacc90007cf45364,500,500,budget_exhausted,533.0,33.0,0.0,500.0,485.0,500.0,,,,,,8.422305999993114,27,45,v2_service_resolution,3,0.7050898306100158,0.15109091984477374,2.6287423963597236,149233.6666666667,-0.4430379746845574,0.7973068745570517,0.4430379746845574,0.873015873015873,1.0,0.0,0.0,9000.0,21.02993917087779,0.0,0.0,862.0
