case_id,instance_seed,point_id,F1,F2,F3
WEN38,1,1,2.4595950978945553,128676.0,-0.0
WEN38,1,2,2.460869941929812,122940.33333333333,-0.0
WEN38,1,3,2.4609239426851235,108072.0,-0.0
WEN38,1,4,2.463633628990012,105834.0,-0.0
WEN38,1,5,2.4636498837653784,105643.33333333333,-0.0
WEN38,1,6,2.464202792774178,125195.66666666667,-0.45048160039550567
WEN38,1,7,2.4652372501390794,102928.5,-0.0
WEN38,1,8,2.4656323794338073,91979.33333333334,-0.0
WEN38,1,9,2.4938038890014775,87697.0,-0.0
WEN38,1,10,2.518693996515501,109555.0,-0.0026155187479162123
WEN38,1,11,2.544591826519823,122811.0,-0.044676409188468824
WEN38,1,12,2.551497825546323,123850.83333333334,-0.07405908539294614
WEN38,1,13,2.561442897805704,113844.16666666667,-0.15353311136004777
WEN38,1,14,2.5992123905964517,112117.0,-0.044676409188468824
WEN38,1,15,2.601521554629481,125017.33333333334,-0.4019864087831593
WEN38,1,16,2.605951037265932,120912.0,-0.27640733712996735
WEN38,1,17,2.6120875416491964,107706.66666666666,-0.15353311136004777
WEN38,1,18,2.6254392271277984,119502.0,-0.24338624338815862
WEN38,1,19,2.6265324551681397,110003.33333333334,-0.19464977120969706
WEN38,1,20,2.6443045238338136,115276.66666666669,-0.4349222030141391
WEN38,1,21,2.6622092339370074,87277.0,-0.0
WEN38,1,22,2.668756300925935,97197.5,-0.15353311136004777
WEN38,1,23,2.684645201481664,96806.0,-0.05998356614873046
WEN38,1,24,2.684967174437272,86312.0,-0.0
WEN38,1,25,2.6909026811688648,100454.0,-0.16833148353725846
WEN38,1,26,2.701771622925598,104731.5,-0.1805157593144031
WEN38,1,27,2.7070870020914803,96094.0,-0.05998356614873046
WEN38,1,28,2.760123585606329,95758.0,-0.05998356614873046
WEN38,1,29,2.767655771964921,108802.5,-0.2798237330835036
WEN38,1,30,2.7701666020197657,114955.33333333334,-0.33313902652480465
WEN38,1,31,2.770960141707414,83459.0,-0.07405908539294614
WEN38,1,32,2.782859773640217,97379.50000000001,-0.3385371494669016
WEN38,1,33,2.813422170893209,100573.66666666669,-0.3947089947105269
WEN38,1,34,2.8210419139659972,92069.0,-0.1825652018596884
WEN38,1,35,2.8539686463138514,88622.0,-0.15353311136004777
WEN38,1,36,2.8545001842294964,114054.0,-0.40057636887740955
WEN38,1,37,2.865346158298019,81636.66666666667,-0.0
WEN38,1,38,2.8679058402596476,97689.33333333333,-0.39582783205878513
WEN38,1,39,2.9072110276029433,99235.0,-0.4480096501820299
WEN38,1,40,2.9476079092478535,97259.16666666666,-0.2798237330835036
WEN38,1,41,2.9530404965316848,80641.33333333334,-0.04467640918755933
WEN38,1,42,2.9615764559098183,78405.0,-0.0
WEN38,1,43,3.0116068242987,76121.0,-0.15353311136004777
WEN38,1,44,3.029344623717413,92714.0,-0.24338624338815862
WEN38,1,45,3.1478481099446736,96012.0,-0.2798237330835036
