run_key,case_id,instance_seed,solver_seed,algorithm,evaluations,unmet_area,time_cost,neg_min_satisfaction,final_total_satisfaction,final_min_satisfaction
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,32.0,2.8870506232157416,119622.0,-0.2780056800265811,0.7973068745570517,0.2780056800265811
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,64.0,2.8870506232157416,119622.0,-0.2780056800265811,0.7973068745570517,0.2780056800265811
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,96.0,2.8870506232157416,119622.0,-0.2780056800265811,0.7973068745570517,0.2780056800265811
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,126.0,2.8870506232157416,119622.0,-0.2780056800265811,0.7973068745570517,0.2780056800265811
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,154.0,2.8870506232157416,119622.0,-0.2780056800265811,0.7973068745570517,0.2780056800265811
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,183.0,2.8870506232157416,119622.0,-0.2780056800265811,0.7973068745570517,0.2780056800265811
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,214.0,3.1478481099446736,96012.0,-0.2798237330835036,0.7973068745570517,0.2798237330835036
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,244.0,3.1478481099446736,96012.0,-0.2798237330835036,0.7973068745570517,0.2798237330835036
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,274.0,3.085215225465637,106120.0,-0.2798237330835036,0.7973068745570517,0.2798237330835036
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,302.0,3.085215225465637,106120.0,-0.2798237330835036,0.7973068745570517,0.2798237330835036
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,331.0,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,360.0,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,392.0,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,422.0,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,454.0,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,WEN38,1,60000,nsga2,483.0,2.9072110276029433,99235.0,-0.4480096501820299,0.7973068745570517,0.4480096501820299
