size_group,algorithm,runs,instances,hypervolume_mean,hypervolume_sd,hypervolume_median,igd_mean,igd_sd,igd_median,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_median,evaluations_mean,evaluations_sd,evaluations_median,pareto_size_mean,pareto_size_sd,pareto_size_median,F1_mean,F1_sd,F1_median,F2_mean,F2_sd,F2_median,F3_mean,F3_sd,F3_median,final_total_satisfaction_mean,final_total_satisfaction_sd,final_total_satisfaction_median,final_min_satisfaction_mean,final_min_satisfaction_sd,final_min_satisfaction_median,zero_service_ratio_mean,zero_service_ratio_sd,zero_service_ratio_median
small,nsga2,1,1,0.917914366068445,0.0,0.917914366068445,0.10940003390144862,0.0,0.10940003390144862,0.15340125001966953,0.0,0.15340125001966953,12.0,0.0,12.0,5.0,0.0,5.0,4.351829954168636,0.0,4.351829954168636,2582.082582905887,0.0,2582.082582905887,-0.8999999999999696,0.0,-0.8999999999999696,0.8999999999999697,0.0,0.8999999999999697,0.8999999999999696,0.0,0.8999999999999696,0.0,0.0,0.0
small,nsga2_alns,1,1,0.5567486286018494,0.0,0.5567486286018494,0.3718832592998742,0.0,0.3718832592998742,0.15374387500924058,0.0,0.15374387500924058,12.0,0.0,12.0,6.0,0.0,6.0,4.189840595333817,0.0,4.189840595333817,2517.8218595045,0.0,2517.8218595045,-0.899999999999829,0.0,-0.899999999999829,0.8999999999998292,0.0,0.8999999999998292,0.899999999999829,0.0,0.899999999999829,0.0,0.0,0.0
small,nsga2_ls,1,1,1.1811122614648948,0.0,1.1811122614648948,0.31640007264185166,0.0,0.31640007264185166,0.15370870899641886,0.0,0.15370870899641886,12.0,0.0,12.0,2.0,0.0,2.0,3.971745658954452,0.0,3.971745658954452,2253.332275926025,0.0,2253.332275926025,-0.899999999999875,0.0,-0.899999999999875,0.8999999999998751,0.0,0.8999999999998751,0.899999999999875,0.0,0.899999999999875,0.0,0.0,0.0
