case_id,scenario_family,zone,instance_seed,model_id,model,members,delta_hv,delta_igd,representative_delta_F1,representative_delta_F2,representative_delta_F3
S025,corridor,binding,101,PR0_HT1_EC1,No-PR,2,0.10774804716403985,0.14217197906223283,0.025976781227249113,107.11483799822713,0.0
S025,corridor,binding,101,PR1_HT0_EC1,No-HT,2,0.0,0.0,0.0,0.0,0.0
S025,corridor,binding,101,PR1_HT1_EC0,No-EC,2,0.020094237114845148,0.07810337796605006,0.013052560816761982,229.1000275098005,0.0
S025,corridor,binding,102,PR0_HT1_EC1,No-PR,2,0.012832701992548046,0.038927148960347185,-0.03753404997358567,-7.1933750154794325,-0.02617801047120416
S025,corridor,binding,102,PR1_HT0_EC1,No-HT,2,0.015249648591680626,0.014192912275130476,0.0221542941068118,10.236158222599897,0.03926701570680624
S025,corridor,binding,102,PR1_HT1_EC0,No-EC,2,0.06072410230543246,0.02739021351572043,0.2337972633563461,-121.84982877056927,0.18924821382083246
S025,corridor,inactive,101,PR0_HT1_EC1,No-PR,2,0.06501958617262907,0.2315622806627441,0.21858763706634043,298.03391447810463,0.044700754236382756
S025,corridor,inactive,101,PR1_HT0_EC1,No-HT,2,0.02487871077787418,0.02481050293765763,0.004506162645254719,-13.25425449499744,-2.3425705819590803e-14
S025,corridor,inactive,101,PR1_HT1_EC0,No-EC,2,0.0,0.0,0.0,0.0,0.0
S025,corridor,inactive,102,PR0_HT1_EC1,No-PR,2,0.049489605183684476,0.0816699173417576,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,inactive,102,PR1_HT0_EC1,No-HT,2,0.03566558822791974,0.05402911346394729,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,inactive,102,PR1_HT1_EC0,No-EC,2,0.0,0.0,0.0,0.0,0.0
S025,corridor,transition,101,PR0_HT1_EC1,No-PR,2,0.0654871759885734,0.05311493911710802,0.007598784194529529,-138.94865365926694,0.0
S025,corridor,transition,101,PR1_HT0_EC1,No-HT,2,0.0009539511284133995,0.006363749393358787,0.0037993920972647643,-5.7576814617913215,0.0
S025,corridor,transition,101,PR1_HT1_EC0,No-EC,2,0.14958507405868537,0.08491012948911997,0.02182259635110606,-82.60478180574773,0.0
S025,corridor,transition,102,PR0_HT1_EC1,No-PR,2,0.04923940327174736,0.07780039917284279,0.18287143031078035,-217.3316608051241,-3.3639757646142243e-14
S025,corridor,transition,102,PR1_HT0_EC1,No-HT,2,0.02851833209602167,0.05247811259816214,0.1981544670629347,-61.89148181345172,-3.735900477863652e-14
S025,corridor,transition,102,PR1_HT1_EC0,No-EC,2,-0.0007112038910595253,-0.0012800250366774048,0.004088236553698721,-24.867091704429185,3.141931159689193e-14
WEN38,benchmark,original,1,PR0_HT1_EC1,No-PR,2,0.4885068598990991,0.17109134190609704,0.08023119455770233,26374.583333333314,0.34769748791950406
WEN38,benchmark,original,1,PR1_HT0_EC1,No-HT,2,0.07077223459368542,0.015263256970682482,-0.02266087467711775,12297.666666666657,0.049639521005246934
WEN38,benchmark,original,1,PR1_HT1_EC0,No-EC,2,0.0,0.0,0.0,0.0,0.0
