run_key,case_id,instance_seed,solver_seed,algorithm,evaluations,unmet_area,time_cost,neg_min_satisfaction,final_total_satisfaction,final_min_satisfaction
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,32.0,2.625708514521433,137953.0,-0.27640733712996735,0.7973068745570517,0.27640733712996735
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,64.0,2.625708514521433,137953.0,-0.27640733712996735,0.7973068745570517,0.27640733712996735
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,96.0,2.625708514521433,137953.0,-0.27640733712996735,0.7973068745570517,0.27640733712996735
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,126.0,2.625708514521433,137953.0,-0.27640733712996735,0.7973068745570517,0.27640733712996735
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,154.0,2.625708514521433,137953.0,-0.27640733712996735,0.7973068745570517,0.27640733712996735
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,183.0,2.625708514521433,137953.0,-0.27640733712996735,0.7973068745570517,0.27640733712996735
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,214.0,2.577834698758217,148007.0,-0.3079249848779,0.79730687455697,0.3079249848779
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,244.0,2.577834698758217,148007.0,-0.3079249848779,0.79730687455697,0.3079249848779
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,274.0,2.577834698758217,148007.0,-0.3079249848779,0.79730687455697,0.3079249848779
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,302.0,2.577834698758217,148007.0,-0.3079249848779,0.79730687455697,0.3079249848779
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,331.0,2.577834698758217,148007.0,-0.3079249848779,0.79730687455697,0.3079249848779
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,360.0,2.7904792536546026,144732.33333333334,-0.3821590317911614,0.7973068745570517,0.3821590317911614
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,392.0,2.7904792536546026,144732.33333333334,-0.3821590317911614,0.7973068745570517,0.3821590317911614
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,422.0,2.7904792536546026,144732.33333333334,-0.3821590317911614,0.7973068745570517,0.3821590317911614
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,454.0,2.7904792536546026,144732.33333333334,-0.3821590317911614,0.7973068745570517,0.3821590317911614
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,483.0,2.6443045238338136,115276.66666666669,-0.4349222030141391,0.7973068745570517,0.4349222030141391
WEN38:i1:nsga2:s60000:r0:31af3335d21c,WEN38,1,60000,nsga2,500.0,2.6443045238338136,115276.66666666669,-0.4349222030141391,0.7973068745570517,0.4349222030141391
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,32.0,2.6711567888638736,116827.0,-0.15353311136004777,0.7973068745570517,0.15353311136004777
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,64.0,2.6711567888638736,116827.0,-0.15353311136004777,0.7973068745570517,0.15353311136004777
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,95.0,2.666687386196257,146799.6666666667,-0.17161477190620644,0.7973068745570517,0.17161477190620644
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,125.0,2.5875185564348566,139377.1666666667,-0.2847764926555101,0.7973068745570517,0.2847764926555101
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,156.0,2.819212883975501,136905.16666666666,-0.4140845070432988,0.7973068745570517,0.4140845070432988
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,187.0,2.819212883975501,136905.16666666666,-0.4140845070432988,0.7973068745570517,0.4140845070432988
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,219.0,2.819212883975501,136905.16666666666,-0.4140845070432988,0.7973068745570517,0.4140845070432988
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,247.0,2.819212883975501,136905.16666666666,-0.4140845070432988,0.7973068745570517,0.4140845070432988
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,278.0,2.819212883975501,136905.16666666666,-0.4140845070432988,0.7973068745570517,0.4140845070432988
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,310.0,2.6287423963597236,149233.6666666667,-0.4430379746845574,0.7973068745570517,0.4430379746845574
WEN38:i1:nsga2:s60001:r1:2acec6676b7c,WEN38,1,60001,nsga2,338.0,2.6287423963597236,149233.6666666667,-0.4430379746845574,0.7973068745570517,0.4430379746845574
