run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,actual_evaluations,unique_decisions,evaluation_snapshots,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S025:i101:nsga2_alns:s1060000:r0:e950c3866ff0,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,b58b5953ba841c4b,500,500,budget_exhausted,513.0,13.0,288.0,500.0,459.0,500.0,43.0,46.0,35.0,80.0,84.0,14.96727845800342,6,8,1.1394165518679924,0.0733301127992867,3.765897851912105,3535.2312444787335,-0.8999999999998044,0.8999999999998045,0.8999999999998044,1.0,0.16666666666666666,0.0,2.2142643274492002e-10,1018.7999999997787,30.12718281529684,0.0,0.0,124.0
S025:i101:nsga2_alns:s1060001:r1:d464791de550,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,f230895a11639f53,500,500,budget_exhausted,505.0,5.0,277.0,500.0,462.0,500.0,45.0,40.0,37.0,75.0,80.0,12.606531583005562,5,8,0.7220058638624698,0.23677253585140864,3.8128425400883366,3350.881669754187,-0.8999999999997318,0.8999999999997319,0.8999999999997318,1.0,0.25,0.0,3.036717544091516e-10,1018.7999999996965,30.502740320706693,0.0,0.0,124.0
S025:i101:nsga2_alns:s1060002:r2:2cab7dc17907,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2_alns,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,e5e32e42c4083994,500,500,budget_exhausted,517.0,17.0,278.0,500.0,472.0,500.0,35.0,39.0,38.0,92.0,74.0,13.722253457992338,2,8,1.0365604177654582,0.19433810522353487,3.7963900044050263,3180.914041441418,-0.8999999999997881,0.8999999999997882,0.8999999999997881,1.0,0.16666666666666666,0.0,2.4013502297748346e-10,1018.7999999997602,30.37112003524021,0.0,0.0,123.0
S025:i101:nsga2_ls:s1060000:r0:276d56f6d0a1,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,ea64ee48da237370,500,500,budget_exhausted,510.0,10.0,284.0,500.0,441.0,500.0,56.0,47.0,61.0,68.0,52.0,10.283049874997232,5,8,0.7106981936601231,0.2023184189215782,3.7880373391346183,3587.276405989749,-0.8999999999998438,0.8999999999998439,0.8999999999998438,1.0,0.25,0.0,1.7696777376841055e-10,1018.7999999998233,30.304298713076946,0.0,0.0,125.0
S025:i101:nsga2_ls:s1060001:r1:545ac16af15b,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,02db08c38395f6f6,500,500,budget_exhausted,511.0,11.0,262.0,500.0,473.0,500.0,50.0,50.0,36.0,57.0,69.0,12.196087291988079,5,8,0.9173895140781453,0.11561026462381571,3.764849948865446,3473.425800837145,-0.899999999999863,0.899999999999863,0.899999999999863,1.0,0.25,0.0,1.552820094730123e-10,1018.7999999998449,30.11879959092357,0.0,0.0,125.0
S025:i101:nsga2_ls:s1060002:r2:cadd1900234e,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2_ls,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,d2a409534531713b,500,500,budget_exhausted,516.0,16.0,268.0,500.0,464.0,500.0,60.0,48.0,44.0,52.0,64.0,12.32157958400785,2,8,0.809711226164437,0.24402143451687544,3.804114699186192,3220.770691148138,-0.8999999999999148,0.8999999999999149,0.8999999999999148,1.0,0.25,0.0,9.660539035394322e-11,1018.7999999999037,30.432917593489535,0.0,0.0,124.0
S025:i101:nsga2:s1060000:r0:0af571025fef,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,65135c2ac04ebddd,500,500,budget_exhausted,523.0,23.0,0.0,500.0,469.0,500.0,,,,,,10.108777124987682,6,8,0.9867994204987823,0.08579004173078572,3.7782310955182665,3396.7715155603187,-0.899999999999896,0.8999999999998961,0.899999999999896,1.0,0.25,0.0,1.177724584522366e-10,1018.7999999998824,30.225848764146132,0.0,0.0,123.0
S025:i101:nsga2:s1060001:r1:c61cd53925a5,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,34a3dac60a388e41,500,500,budget_exhausted,518.0,18.0,0.0,500.0,459.0,500.0,,,,,,9.855709833005676,3,8,1.0531364740866662,0.16150963359096449,3.8015910683116587,3204.482602950757,-0.8999999999998798,0.8999999999998799,0.8999999999998798,1.0,0.25,0.0,1.361684098810656e-10,1018.799999999864,30.41272854649327,0.0,0.0,123.0
S025:i101:nsga2:s1060002:r2:253684d5d126,S025,benchmark,synthetic,small,25,101,1060002,2,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,524b17826c1e4e04f464f329734649ba87e61d277d265b70370bec99a9b95988,2a5d466217a99587,500,500,budget_exhausted,525.0,25.0,0.0,500.0,475.0,500.0,,,,,,10.068535625003278,9,8,0.8928137726688092,0.1652297046255818,3.8099294802661987,3525.1618214134005,-0.8999999999997973,0.8999999999997974,0.8999999999997973,1.0,0.25,0.0,2.2949109279579716e-10,1018.7999999997706,30.47943584212959,0.0,0.0,124.0
S025:i102:nsga2_alns:s1070000:r0:df59e4e56ddd,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2_alns,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,c5b7ad02f58f763d,500,500,budget_exhausted,507.0,7.0,260.0,500.0,472.0,500.0,40.0,37.0,25.0,68.0,90.0,12.47522900000331,3,6,0.9217565989140082,0.20641799162865002,3.8131442487131864,4427.420787725893,-0.8999999999996675,0.8999999999996676,0.8999999999996675,1.0,0.16666666666666666,0.0,3.8534864188477513e-10,1043.0999999996147,30.50515398970549,0.0,0.0,132.0
S025:i102:nsga2_alns:s1070001:r1:12584daf0014,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2_alns,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,44685041df29e540,500,500,budget_exhausted,515.0,15.0,268.0,500.0,481.0,500.0,46.0,69.0,18.0,60.0,75.0,11.606632208015071,2,6,0.9065642966095745,0.1875327886031244,3.8107953202581526,4203.881999441563,-0.899999999999507,0.899999999999507,0.899999999999507,1.0,0.3333333333333333,0.0,5.716174200642854e-10,1043.0999999994285,30.48636256206522,0.0,0.0,131.0
S025:i102:nsga2_alns:s1070002:r2:f95d2655f9ad,S025,benchmark,synthetic,small,25,102,1070002,2,nsga2_alns,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,4a8b1acb824a0b43,500,500,budget_exhausted,506.0,6.0,282.0,500.0,478.0,500.0,35.0,27.0,32.0,89.0,99.0,13.175733584008412,3,6,0.8639045460837516,0.2443766415625465,3.846399970987175,4119.828058561817,-0.8999999999996675,0.8999999999996676,0.8999999999996675,1.0,0.3333333333333333,0.0,3.8535574731213273e-10,1043.0999999996147,30.7711997678974,0.0,0.0,132.0
S025:i102:nsga2_ls:s1070000:r0:a80098a5ae05,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2_ls,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,ec065f8e9dd46eaa,500,500,budget_exhausted,510.0,10.0,285.0,500.0,464.0,500.0,57.0,52.0,48.0,64.0,64.0,12.811931000003824,4,6,0.7193019166602969,0.32472810903843036,3.835190791619275,4293.445523245996,-0.899999999999769,0.899999999999769,0.899999999999769,1.0,0.16666666666666666,0.0,2.6775381911647855e-10,1043.0999999997323,30.6815263329542,0.0,0.0,131.0
S025:i102:nsga2_ls:s1070001:r1:5a3514a34e2c,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2_ls,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,e6ad9716c46951bf,500,500,budget_exhausted,521.0,21.0,284.0,500.0,445.0,500.0,45.0,56.0,65.0,55.0,63.0,13.229654291993938,3,6,1.1632428595688489,0.1091061950525723,3.7454803356956043,4353.16727447131,-0.8999999999996519,0.8999999999996519,0.8999999999996519,1.0,0.25,0.0,4.034532707919425e-10,1043.0999999995965,29.963842685564835,0.0,0.0,133.0
S025:i102:nsga2_ls:s1070002:r2:f80fdc80e5f4,S025,benchmark,synthetic,small,25,102,1070002,2,nsga2_ls,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,ffc3586510d23d1e,500,500,budget_exhausted,511.0,11.0,271.0,500.0,464.0,500.0,59.0,58.0,47.0,56.0,51.0,11.709560166986194,7,6,0.7702321492817121,0.24352183608412434,3.791951004168816,4550.972149935734,-0.8999999999996368,0.8999999999996797,0.8999999999996368,1.0,0.25,0.0,3.7111647088750033e-10,1043.0999999996288,30.33560803335053,0.0,0.0,137.0
S025:i102:nsga2:s1070000:r0:578693c4831f,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,cf4f15ca7d92c072,500,500,budget_exhausted,529.0,29.0,0.0,500.0,477.0,500.0,,,,,,12.923163792002015,7,6,0.8683273827235016,0.22944711733637754,3.7825807265863522,4492.659099318153,-0.8999999999996675,0.8999999999996676,0.8999999999996675,1.0,0.3333333333333333,0.0,3.8537706359420554e-10,1043.0999999996147,30.260645812690818,0.0,0.0,132.0
S025:i102:nsga2:s1070001:r1:c99849cd6078,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,eb7c8ef81e4d6946,500,500,budget_exhausted,527.0,27.0,0.0,500.0,467.0,500.0,,,,,,13.0733345420158,5,6,1.09730417944269,0.10377784050346554,3.7953927513022796,4137.98573759759,-0.8999999999997959,0.8999999999997959,0.8999999999997959,1.0,0.4166666666666667,0.0,2.3665336357225897e-10,1043.0999999997634,30.363142010418237,0.0,0.0,135.0
S025:i102:nsga2:s1070002:r2:1089cd02e7a7,S025,benchmark,synthetic,small,25,102,1070002,2,nsga2,v2,54b772c06ceecbc181565e172d89fe2bc931aaa3c82f564d9776b6a6473cc406,d4a9e5d5cc55e7b48b856a4714048051354fb1bdd399e8a84ffc688e330e0319,922ff39154286394,500,500,budget_exhausted,526.0,26.0,0.0,500.0,489.0,500.0,,,,,,14.38100999998278,4,6,1.1366989854671055,0.05373084146753924,3.7363785538190766,4154.9275551653245,-0.8999999999996675,0.8999999999996676,0.8999999999996675,1.0,0.3333333333333333,0.0,3.8541259073099354e-10,1043.0999999996147,29.891028430552613,0.0,0.0,133.0
