model_group,runs,solutions,runs_with_any_F1_change,mean_of_run_mean_delta_F1,mean_of_run_median_delta_F1,worst_run_max_abs_delta_F1,worst_run_F1,worst_run_F1_solution,runs_with_any_F2_change,mean_of_run_mean_delta_F2,mean_of_run_median_delta_F2,worst_run_max_abs_delta_F2,worst_run_F2,worst_run_F2_solution,runs_with_any_F3_change,mean_of_run_mean_delta_F3,mean_of_run_median_delta_F3,worst_run_max_abs_delta_F3,worst_run_F3,worst_run_F3_solution
PR1_HT1_EC1,2,35,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:d7990b704a32,p0001
PR0_HT1_EC1,2,45,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0001,1,-0.3156757712147066,0.0,6.629191195509065,S025:i101:nsga2:s1060001:r1:PR0_HT1_EC1:bccb360a3f32,p0011,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0001
PR1_HT0_EC1,2,37,1,0.0007145799923965272,0.0,0.024295719741481925,S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0009,1,0.305957597744857,0.0,10.402558323325138,S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0009,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:17bcc736cf95,p0001
PR1_HT1_EC0,2,35,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:bebfe5d44152,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:bebfe5d44152,p0001,0,0.0,0.0,0.0,S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:bebfe5d44152,p0001
