run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,distinct_evaluated,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S020:i101:spt:s1060000:r0:7cc0110b9fcd,S020,smoke,synthetic,small,20,101,1060000,0,spt,legacy,dc32d088865a735a71c3688fcdcdf651ac6cfd549ea21a4011388179513a9a9f,dfab8c02f488bdcc783bba392165588a868c6d84796c649503e377e2c4143e70,ee5a91561526043c,1,12,single_pass,1.0,0.0,0.0,1.0,,,,,,0.013340291014174,1,3,0.008250100766516598,1.3369426670218794,4.414560805809472,2257.155029220253,-0.7876712328767124,0.8806146572101625,0.7876712328767124,1.0,0.5555555555555556,0.0,16.400000000202503,744.9999999997975,35.31648644647578,0.0,0.0,108.0
S020:i101:nsga2:s1060000:r0:7c3a5fa4114d,S020,smoke,synthetic,small,20,101,1060000,0,nsga2,legacy,dc32d088865a735a71c3688fcdcdf651ac6cfd549ea21a4011388179513a9a9f,dfab8c02f488bdcc783bba392165588a868c6d84796c649503e377e2c4143e70,977e8a109583c66a,12,12,budget_exhausted,14.0,2.0,0.0,12.0,,,,,,0.15255616698414087,4,3,1.0234725438006653,0.0,4.277081785625552,2148.7073141974283,-0.8999999999998877,0.8999999999998878,0.8999999999998877,1.0,0.4444444444444444,0.0,9.5006669198483e-11,761.399999999905,34.21665428500442,0.0,0.0,106.0
