run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,actual_evaluations,unique_decisions,evaluation_snapshots,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,quality_precision,quality_effective_dimensions,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC0:6d64fbb47f71,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,aad1b8a2a825534eddf1e3b5e952ede46d3a6de761138cd1d40bf9c0e385cbe0,0d9d3152bdf41867,500,500,budget_exhausted,529.0,29.0,0.0,500.0,471.0,500.0,,,,,,1.5346638339979108,50,,,,,,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.925925925925926,0.375,0.0,1.2255441106390208e-10,686.6999999998775,33.69218573899118,0.0,0.0,84.0
S025@corridor@binding:i102:nsga2:s1070000:r0:PR1_HT1_EC1:d5a7da3e9b05,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,99e91ee5a24ca4ce220d739ca40d54d4e88d7cf6047bb2c40226cf1e973b867a,bd3f4ce24defb3a5,500,500,budget_exhausted,529.0,29.0,0.0,500.0,462.0,500.0,,,,,,4.622860875009792,36,,,,,,4.667452695887644,4306.980980790693,-0.7853403141361257,0.877422982602798,0.7853403141361257,0.925925925925926,0.25,0.0,17.226264274065073,669.473735725935,37.339621567101155,0.0,2302.933073628892,73.0
S025@corridor@binding:i102:nsga2:s1070001:r1:PR0_HT1_EC1:e7f73c353cd1,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,34877783eec7440b56376c5b8b4077ab80c8132f98c7afd480fcfa11ca04dfaa,ed538a0f27a004be,500,500,budget_exhausted,528.0,28.0,0.0,500.0,464.0,500.0,,,,,,4.6642799169931095,23,,,,,,5.133333707910856,3595.0664797445843,-0.7068062827225131,0.8212886727610208,0.7068062827225131,0.7777777777777778,0.25,0.0,60.0567426833412,626.6432573166588,41.066669663286845,0.0,2025.400285802202,63.0
S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT0_EC1:d952fda92850,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,8ddaf5e0d22d5e7800a00a44f6a13d1ecd33623ff23765fb2b1f88170e3611d7,5e4396a853cb724f,500,500,budget_exhausted,528.0,28.0,0.0,500.0,466.0,500.0,,,,,,6.082609415985644,43,,,,,,4.612104676948171,4167.237751368348,-0.7853403141361257,0.8774229826026985,0.7853403141361257,0.925925925925926,0.25,0.0,17.226264274141215,669.4737357258589,36.89683741558537,0.0,2853.702535178074,72.0
S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC0:1400af4ac24c,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,aad1b8a2a825534eddf1e3b5e952ede46d3a6de761138cd1d40bf9c0e385cbe0,bd0f9cccf9ba143f,500,500,budget_exhausted,528.0,28.0,0.0,500.0,469.0,500.0,,,,,,1.614606666000327,42,,,,,,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.925925925925926,0.25,0.0,1.2255441106390208e-10,686.6999999998775,33.69218573899118,0.0,0.0,84.0
S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC1:4bf2708ae859,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,99e91ee5a24ca4ce220d739ca40d54d4e88d7cf6047bb2c40226cf1e973b867a,f887ecb5eae402f6,500,500,budget_exhausted,528.0,28.0,0.0,500.0,471.0,500.0,,,,,,4.675235541013535,36,,,,,,4.568214100407843,4307.993124762185,-0.8638743455497382,0.8970822224453796,0.8638743455497382,0.925925925925926,0.25,0.0,2.2262642741754632,684.4737357258247,36.545712803262745,0.0,2227.2140252778036,73.0
S025@corridor@inactive:i101:nsga2:s1060000:r0:PR0_HT1_EC1:695392aa124e,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,7c4430d802cf762c616343b8b136bbf4fc8b2573e97612c562b51bd7bf35315e,446d1119ac6df040,500,500,budget_exhausted,521.0,21.0,0.0,500.0,462.0,500.0,,,,,,2.837849624978844,13,,,,,,6.103297387295841,2744.4582868741086,-0.4878048780487805,0.645514568086851,0.4878048780487805,0.5555555555555556,0.25,0.0,167.45141419885206,424.748585801148,48.82637909836673,0.0,0.0,45.0
S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b339f64ad983,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,d7516583c0a6075e4089331c75d2b121a7208aa8bd36ceed1846958bb3ecb73e,7d342e706d518418,500,500,budget_exhausted,521.0,21.0,0.0,500.0,473.0,500.0,,,,,,3.7426106249913573,29,,,,,,4.0120175758104075,4094.9414227207953,-0.8678714859437232,0.8999999999998745,0.8678714859437232,0.8518518518518519,0.25,0.0,8.265033102361485e-11,592.1999999999174,32.09614060648326,0.0,823.9007596657029,59.0
S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC0:a86ce6b22107,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,179b483864702c06d2fd6588dbbdaffaa29d0c92d040844319c17a1c6906a610,1cf0727b6e4aef4b,500,500,budget_exhausted,521.0,21.0,0.0,500.0,469.0,500.0,,,,,,1.5526814589975402,40,,,,,,4.528251717410251,5050.013104580583,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.8518518518518519,0.25,0.0,9.43387590268685e-11,592.1999999999057,36.22601373928201,0.0,0.0,70.0
S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC1:936edd1f2272,S025,benchmark,synthetic,small,25,101,1060000,0,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,9d4be61a61fa0afcf9d0e9a7d81c4d0b248ef00c80c717970c5b39a157f09478,1cf0727b6e4aef4b,500,500,budget_exhausted,521.0,21.0,0.0,500.0,469.0,500.0,,,,,,3.187390625011176,40,,,,,,4.528251717410251,5050.013104580583,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.8518518518518519,0.25,0.0,9.43387590268685e-11,592.1999999999057,36.22601373928201,0.0,0.0,70.0
S025@corridor@inactive:i101:nsga2:s1060001:r1:PR0_HT1_EC1:4033821e0b6c,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,7c4430d802cf762c616343b8b136bbf4fc8b2573e97612c562b51bd7bf35315e,b14bac020e17e995,500,500,budget_exhausted,527.0,27.0,0.0,500.0,466.0,500.0,,,,,,2.685271541995462,13,,,,,,6.103297387295841,2744.4582868741086,-0.4878048780487805,0.645514568086851,0.4878048780487805,0.5555555555555556,0.25,0.0,167.45141419885206,424.748585801148,48.82637909836673,0.0,0.0,45.0
