zone,capacity_scale,case_id,instance_seed,solver_seed,solver_repeat,model_id,solution_index,decision_hash,is_full_planning_model,planning_F1,planning_F2,planning_F3,execution_F1,execution_F2,execution_F3,execution_minus_planning_F1,execution_minus_planning_F2,execution_minus_planning_F3
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,0,17f5967e22085cf5,True,4.532757880055506,5027.05519257525,-0.8678714859437232,4.532757880055506,5027.05519257525,-0.8678714859437232,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,1,f7b3d930cdf94093,True,4.544170196602644,5024.500643650092,-0.8678714859437232,4.544170196602644,5024.500643650092,-0.8678714859437232,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,2,1cf0727b6e4aef4b,True,4.528251717410251,5050.013104580583,-0.8678714859436998,4.528251717410251,5050.013104580583,-0.8678714859436998,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,3,c372f185ca3aab9f,True,5.81048087756818,4067.3713031685447,-0.5792682926829268,5.81048087756818,4067.3713031685447,-0.5792682926829268,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,4,52a18a0c9bf3b6c7,True,5.842915287098676,3870.041163068089,-0.5612244897959183,5.842915287098676,3870.041163068089,-0.5612244897959183,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,5,cefa1863f33f9578,True,5.8372944173995975,3949.503532906394,-0.5612244897959183,5.8372944173995975,3949.503532906394,-0.5612244897959183,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,6,89c855ddcf0294ba,True,5.823239145072931,4066.827566355874,-0.5182926829268293,5.823239145072931,4066.827566355874,-0.5182926829268293,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,7,994c553c480671f9,True,5.785258646099938,4066.827566355874,-0.5,5.785258646099938,4066.827566355874,-0.5,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,8,b229ab1a27545f4d,True,6.0236621085210755,3572.5271295732837,-0.5,6.0236621085210755,3572.5271295732837,-0.5,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,9,985dccd2a5c40ea5,True,5.840171887981812,3871.0296469476707,-0.4878048780487805,5.840171887981812,3871.0296469476707,-0.4878048780487805,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,10,4b55a74c39476d0e,True,6.107362954586695,3526.6113055626165,-0.45918367346938777,6.107362954586695,3526.6113055626165,-0.45918367346938777,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,11,1be58d91cec11329,True,5.780334523195965,3900.628877495573,-0.44871794871794873,5.780334523195965,3900.628877495573,-0.44871794871794873,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,12,433ef2fb19b0298c,True,5.8147295785227415,3871.0296469476707,-0.4166666666666667,5.8147295785227415,3871.0296469476707,-0.4166666666666667,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,13,44a77cee2e030ab5,True,6.018873356946206,3573.0708663859546,-0.4166666666666667,6.018873356946206,3573.0708663859546,-0.4166666666666667,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,14,922e667a7d1455af,True,6.02844579107181,3572.219350077569,-0.38461538461538464,6.02844579107181,3572.219350077569,-0.38461538461538464,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,15,b0289d5140841153,True,6.292362436347563,3350.5837555790513,-0.35714285714285715,6.292362436347563,3350.5837555790513,-0.35714285714285715,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,16,34a711359985335f,True,6.267580109772,3373.5416675843844,-0.3353658536585366,6.267580109772,3373.5416675843844,-0.3353658536585366,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,17,4dc9fa278cb9d15f,True,6.36424390582888,3348.3369861496076,-0.28061224489795916,6.36424390582888,3348.3369861496076,-0.28061224489795916,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,18,99eff3763cb46d83,True,6.246820027219396,3420.544965220394,-0.2564102564102564,6.246820027219396,3420.544965220394,-0.2564102564102564,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,19,ba3c8b4eb0d9487e,True,6.284695201140526,3373.4022132467094,-0.25,6.284695201140526,3373.4022132467094,-0.25,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,20,8e6cff53446ca7ad,True,6.590660709533896,2387.2186563702253,-0.20408163265306123,6.590660709533896,2387.2186563702253,-0.20408163265306123,0.0,0.0,0.0
inactive,0.0025544869401794576,S025,101,1060000,0,PR1_HT1_EC1,21,1087cdc0e79eba39,True,6.585032999857713,2456.0923923862265,-0.20408163265306123,6.585032999857713,2456.0923923862265,-0.20408163265306123,0.0,0.0,0.0
