zone,case_id,instance_seed,scenario,capacity_scale,measured_utilization,damaged_bridge_count,relax_fleet_changed_objective,relax_fleet_delta_F1,relax_fleet_delta_F2,relax_supply_changed_objective,relax_supply_delta_F1,relax_supply_delta_F2,relax_road_capacity_changed_objective,relax_road_capacity_delta_F1,relax_road_capacity_delta_F2,baseline_F1,baseline_F2
inactive,S025,101,corridor,0.0025544869401794576,0.19851382163815334,1,True,-0.09308510638168066,-33.16699387458618,False,0.0,0.0,False,0.0,0.0,6.904635258359354,704.0078882202506
transition,S025,101,corridor,0.00022938722595187606,0.9029629416315711,1,True,-0.05126804711176458,-64.43458376946387,False,0.0,0.0,True,-0.18158719604845341,74.78085485015686,7.093821238602444,662.8880148216786
binding,S025,101,corridor,0.00014953487812212205,0.9893925126811962,1,True,-0.02460106382961147,-32.877464806210924,False,0.0,0.0,True,-0.32209346504559466,-243.06651649037974,7.290558510639063,886.5492641080237
inactive,S025,102,corridor,0.007862340528634104,0.19466439615167863,1,True,-0.8840367088925429,1511.358659309661,False,0.0,0.0,False,0.0,0.0,6.553482267747783,2453.77652327489
transition,S025,102,corridor,0.0016781874534517343,0.9120064437363202,1,True,-0.9017610262714388,1561.8245740081788,False,0.0,0.0,False,0.0,0.0,6.553482267747783,2453.77652327489
binding,S025,102,corridor,0.0005782474837716209,0.9742961207316502,1,True,-0.17998222001014863,-71.5944805403683,False,0.0,0.0,True,-0.18998823947362808,300.43178245516265,6.743470507221411,2193.3669099592285
