model_id,progressive_recovery,heterogeneous_vehicle_thresholds,edge_capacity_constraint,F1,F2,F3,capacity_blocked_tons,max_edge_utilization,total_delivered,total_vehicle_trips,zero_service_ratio
PR0_HT0_EC0,0,0,0,3.9813043899287135,3588.541754358526,-0.8999999999996888,0.0,0.0,1018.7999999996479,128.0,0.0
PR0_HT0_EC1,0,0,1,3.9813043899287135,3588.541754358526,-0.8999999999996888,0.0,0.03411484123753022,1018.7999999996479,128.0,0.0
PR0_HT1_EC0,0,1,0,3.9813043899287135,3588.541754358526,-0.8999999999996888,0.0,0.0,1018.7999999996479,128.0,0.0
PR0_HT1_EC1,0,1,1,3.9813043899287135,3588.541754358526,-0.8999999999996888,0.0,0.03411484123753022,1018.7999999996479,128.0,0.0
PR1_HT0_EC0,1,0,0,3.9813043899287135,3562.740785740176,-0.8999999999996888,0.0,0.0,1018.7999999996479,128.0,0.0
PR1_HT0_EC1,1,0,1,3.9813043899287135,3562.740785740176,-0.8999999999996888,0.0,0.03411484123753022,1018.7999999996479,128.0,0.0
PR1_HT1_EC0,1,1,0,3.9813043899287135,3562.740785740176,-0.8999999999996888,0.0,0.0,1018.7999999996479,128.0,0.0
PR1_HT1_EC1,1,1,1,3.9813043899287135,3562.740785740176,-0.8999999999996888,0.0,0.03411484123753022,1018.7999999996479,128.0,0.0
