scenario,case_id,instance_seed,fleet_multiplier,capacity_scale,supply_multiplier,max_edge_utilization,capacity_reroutes,EC_changed_objective,EC_delta_F1,EC_delta_F2,F1,F2,total_delivered,remaining_supply,unused_vehicle_trips
S025_random_random,S025,1,0.5,0.05,0.5,0.012054438899746724,0,False,0.0,0.0,7.26342712374243,1809.9922403661321,359.0716916370739,128.72830836292616,0
S025_random_random,S025,1,0.5,0.01,0.5,0.06027219449873363,0,False,0.0,0.0,7.26342712374243,1809.9922403661321,359.0716916370739,128.72830836292616,0
S025_random_random,S025,1,0.5,0.005,0.5,0.12054438899746726,0,False,0.0,0.0,7.26342712374243,1809.9922403661321,359.0716916370739,128.72830836292616,0
S025_random_random,S025,1,0.5,0.002,0.5,0.30136097249366817,0,False,0.0,0.0,7.26342712374243,1809.9922403661321,359.0716916370739,128.72830836292616,0
S025_random_random,S025,1,0.5,0.001,0.5,0.6027219449873363,0,False,0.0,0.0,7.26342712374243,1809.9922403661321,359.0716916370739,128.72830836292616,0
S025_random_random,S025,1,1.0,0.05,0.5,0.01735839201563528,0,False,0.0,0.0,5.622341329042845,1831.2559289989294,487.79999999985694,1.4309620155472658e-10,79
S025_random_random,S025,1,1.0,0.01,0.5,0.08679196007817642,0,False,0.0,0.0,5.622341329042845,1831.2559289989294,487.79999999985694,1.4309620155472658e-10,79
S025_random_random,S025,1,1.0,0.005,0.5,0.17358392015635285,0,False,0.0,0.0,5.622341329042845,1831.2559289989294,487.79999999985694,1.4309620155472658e-10,79
S025_random_random,S025,1,1.0,0.002,0.5,0.4339598003908821,0,False,0.0,0.0,5.622341329042845,1831.2559289989294,487.79999999985694,1.4309620155472658e-10,79
S025_random_random,S025,1,1.0,0.001,0.5,0.8679196007817642,0,False,0.0,0.0,5.622341329042845,1831.2559289989294,487.79999999985694,1.4309620155472658e-10,79
S025_random_random,S025,1,2.0,0.05,0.5,0.021215812463554234,0,False,0.0,0.0,5.146324662566231,1494.8819925338878,487.7999999998028,1.972182417375734e-10,237
