topology_cell,topology_description,scenario,case_id,instance_seed,decision,graph_bridge_count,damaged_bridge_count,bridge_gated_demand_count,F1,F2,F3,PR_allocations_changed,PR_same_decision_changed,PR_delta_F1,PR_delta_F2,HT_allocations_changed,HT_same_decision_changed,HT_delta_F1,HT_delta_F2,EC_allocations_changed,EC_same_decision_changed,EC_delta_F1,EC_delta_F2,max_edge_utilization,partial_edge_periods,partial_edge_used_periods,threshold_sensitive_od_periods
fourcell_critical_random,"critical damage requested, random roles",critical_random,S025,102,spt,0,0,0,4.167990112630252,4980.709780632783,-0.8999999999999538,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.029122498254607155,12,0,1
fourcell_critical_random,"critical damage requested, random roles",critical_random,S025,102,random_0,0,0,0,4.004996532624632,4901.205181528074,-0.8999999999997482,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.024798287611575306,11,0,3
fourcell_critical_random,"critical damage requested, random roles",critical_random,S025,102,random_1,0,0,0,4.17215189774571,4980.933068955528,-0.8999999999996101,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.01997114542937324,10,0,1
fourcell_critical_random,"critical damage requested, random roles",critical_random,S025,102,random_2,0,0,0,4.383259504039138,5187.785634737743,-0.8999999999998122,1,True,0.0,2.7926196845246523,0,False,0.0,0.0,0,False,0.0,0.0,0.022543228003630903,12,1,0
fourcell_critical_random,"critical damage requested, random roles",critical_random,S025,102,random_3,0,0,0,4.215324016345551,4735.0571530043435,-0.8999999999996924,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.022731763643944032,10,0,1
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,1,spt,0,0,0,4.044099145532364,3851.154378355707,-0.8999999999996638,8,True,-0.07456043746857866,121.7021032369189,8,True,-0.07456043746857866,57.08684155389756,0,False,0.0,0.0,0.06246364121135911,10,2,8
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,1,random_0,0,0,0,3.975235817718155,4186.498522027259,-0.8999999999998997,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.033215893691455,11,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,1,random_1,0,0,0,4.1765528743103655,4170.201702140454,-0.8999999999997786,2,True,-0.017256255392593012,41.998416533922864,2,True,-0.017256255392593012,10.061491989461501,0,False,0.0,0.0,0.04164242747423941,13,2,8
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,1,random_2,0,0,0,4.031491280846189,4227.576398711719,-0.8999999999998779,2,True,0.0,57.75070602451251,1,True,0.0,-10.953679688547709,0,False,0.0,0.0,0.04033358519676678,11,2,4
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,1,random_3,0,0,0,4.366736755530673,4015.3199863812756,-0.8999999999999572,8,True,-0.08742240361050779,53.62860537184224,8,True,-0.08742240361050779,15.359167170954152,0,False,0.0,0.0,0.04033358519676678,11,4,8
