zone,instance_seed,measured_utilization,baseline_F1,relax_fleet_changed_objective,relax_fleet_delta_F1,relax_supply_changed_objective,relax_supply_delta_F1,relax_road_capacity_changed_objective,relax_road_capacity_delta_F1
inactive,101,0.19851382163815334,6.904635258359354,True,-0.09308510638168066,False,0.0,False,0.0
transition,101,0.9029629416315711,7.093821238602444,True,-0.05126804711176458,False,0.0,True,-0.18158719604845341
binding,101,0.9893925126811962,7.290558510639063,True,-0.02460106382961147,False,0.0,True,-0.32209346504559466
inactive,102,0.19466439615167863,6.553482267747783,True,-0.8840367088925429,False,0.0,False,0.0
transition,102,0.9120064437363202,6.553482267747783,True,-0.9017610262714388,False,0.0,False,0.0
binding,102,0.9742961207316502,6.743470507221411,True,-0.17998222001014863,False,0.0,True,-0.18998823947362808
