planning_model,model_id,solver_seed,solver_repeat,low_budget,high_budget,low_run_key,high_run_key,planning_hv_gain,planning_relative_hv_gain,planning_igd_gain,representative_planning_F1_change,representative_planning_F2_change,representative_planning_F3_change,execution_hv_gain,execution_relative_hv_gain,execution_igd_gain,representative_execution_F1_change,representative_execution_F2_change,representative_execution_F3_change,execution_min_satisfaction_change,execution_zero_service_ratio_change,runtime_ratio,small_planning_change
No-EC,PR1_HT1_EC0,60000,0,2000,5000,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:19d5b96ee482,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:133825dd952b,0.17094494297029728,0.18352173575660558,0.05532826765841008,-0.0047456747127565535,-3832.333333333314,0.0,0.13452413110371286,0.14777211846734228,0.050224735274440005,-0.0047456747127565535,-3832.333333333314,0.0,0.0,0.0,1.9977449238739082,False
No-EC,PR1_HT1_EC0,60001,1,500,2000,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:4e6755c4f558,0.3983893773659095,0.860674705100112,0.13586002547129633,-0.16013849010808023,-20149.333333333358,-0.35426889987229515,0.3741124383993103,0.7744426905790271,0.15529447457332046,-0.16013849010808023,-20149.333333333358,-0.35426889987229515,0.35426889987229515,0.0,15.445631410783328,False
No-EC,PR1_HT1_EC0,60001,1,2000,5000,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:4e6755c4f558,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:a68aa1d27e59,0.11277389216802458,0.13093911623360852,0.0417657561808468,-0.0033795203484894287,-1737.666666666657,0.0,0.10266167354641875,0.11976598746851687,0.036571866954898696,-0.0033795203484894287,-1737.666666666657,0.0,0.0,0.0,2.0802957467616747,False
No-EC,PR1_HT1_EC0,60002,2,500,2000,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:abbe524f5fc3,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:785d4370cf5e,0.5829329245023653,1.4822480048599336,0.25653343488045827,-0.18885997963395385,389.0000000000291,-0.40147904249806743,0.5248039541884156,1.2575169056434654,0.2403405382874779,-0.18885997963395385,389.0000000000291,-0.40147904249806743,0.40147904249806743,0.0,4.513380630311023,False
No-EC,PR1_HT1_EC0,60002,2,2000,5000,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:785d4370cf5e,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:33a10700af6f,0.12634274767170472,0.12942180022069832,0.04177065239897309,-0.0001762134123000081,-27278.833333333343,0.0,0.10117215920544476,0.10738577138794438,0.034331114105681904,-0.0001762134123000081,-27278.833333333343,0.0,0.0,0.0,2.1751935707944288,False
No-EC,PR1_HT1_EC0,60003,3,500,2000,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:3ec21dc8c2c8,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:511599eb579d,0.3081800198839726,0.4340179773520378,0.13562778948843232,-0.008849583023716079,17801.166666666686,0.0,0.24278867600310983,0.33122805829179075,0.10836485671235016,-0.008849583023716079,17801.166666666686,0.0,0.0,0.0,3.8197494299543284,False
No-EC,PR1_HT1_EC0,60003,3,2000,5000,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:511599eb579d,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:81e09eaca11b,0.12226263513004998,0.12007218007679792,0.07366477958322228,-0.0017717930545710914,-1108.000000000029,0.0,0.09730834017767309,0.09972322018586285,0.04554778374357775,-0.0017717930545710914,-1108.000000000029,0.0,0.0,0.0,2.9631169467441882,False
No-EC,PR1_HT1_EC0,60004,4,500,2000,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:daf2b42676e8,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:384c4b2a81e6,0.31207084471445945,0.6618453574384813,0.1255471001481783,-0.22977204580129929,27778.0,-0.35197354122283286,0.31342912274749646,0.6434140873502744,0.11507061997832896,-0.22977204580129929,27778.0,-0.35197354122283286,0.35197354122283286,0.0,3.85946750208451,False
No-EC,PR1_HT1_EC0,60004,4,2000,5000,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:384c4b2a81e6,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:55d5a07c7ef1,0.2523230387212434,0.32201019979198503,0.10141810435264857,-0.000803029282786305,-3311.333333333343,0.0,0.19448727674526178,0.24293797555552543,0.1053336767871045,-0.000803029282786305,-3311.333333333343,0.0,0.0,0.0,1.764779000381726,False
Full,PR1_HT1_EC1,60000,0,500,2000,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,0.45322906501567306,0.9477007946092274,0.1683433840858502,-0.17675407801444365,21136.99999999997,-0.3623846715427135,0.40834133882551704,0.8134173064692396,0.16096458229178706,-0.17675407801444365,21136.99999999997,-0.3623846715427135,0.3623846715427135,0.0,10.722123090116847,False
Full,PR1_HT1_EC1,60000,0,2000,5000,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,0.17094494297029728,0.18352173575660558,0.05532826765841008,-0.0047456747127565535,-3832.333333333314,0.0,0.13452413110371286,0.14777211846734228,0.050224735274440005,-0.0047456747127565535,-3832.333333333314,0.0,0.0,0.0,3.7576674725593597,False
Full,PR1_HT1_EC1,60001,1,500,2000,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:742a07617751,0.3983893773659095,0.860674705100112,0.13586002547129633,-0.16013849010808023,-20149.333333333358,-0.35426889987229515,0.3741124383993103,0.7744426905790271,0.15529447457332046,-0.16013849010808023,-20149.333333333358,-0.35426889987229515,0.35426889987229515,0.0,11.625362786635801,False
Full,PR1_HT1_EC1,60001,1,2000,5000,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:742a07617751,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:23ae88380adf,0.11277389216802458,0.13093911623360852,0.0417657561808468,-0.0033795203484894287,-1737.666666666657,0.0,0.10266167354641875,0.11976598746851687,0.036571866954898696,-0.0033795203484894287,-1737.666666666657,0.0,0.0,0.0,3.7008364077505256,False
Full,PR1_HT1_EC1,60002,2,500,2000,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:6bf81821659d,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:073244d3b9aa,0.5829329245023653,1.4822480048599336,0.25653343488045827,-0.18885997963395385,389.0000000000291,-0.40147904249806743,0.5248039541884156,1.2575169056434654,0.2403405382874779,-0.18885997963395385,389.0000000000291,-0.40147904249806743,0.40147904249806743,0.0,3.4437431872124553,False
Full,PR1_HT1_EC1,60002,2,2000,5000,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:073244d3b9aa,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,0.12634274767170472,0.12942180022069832,0.04177065239897309,-0.0001762134123000081,-27278.833333333343,0.0,0.10117215920544476,0.10738577138794438,0.034331114105681904,-0.0001762134123000081,-27278.833333333343,0.0,0.0,0.0,3.792106343515214,False
Full,PR1_HT1_EC1,60003,3,500,2000,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:0c451e3d1f0d,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:af1912c5b598,0.3081800198839726,0.4340179773520378,0.13562778948843232,-0.008849583023716079,17801.166666666686,0.0,0.24278867600310983,0.33122805829179075,0.10836485671235016,-0.008849583023716079,17801.166666666686,0.0,0.0,0.0,4.20354745937543,False
Full,PR1_HT1_EC1,60003,3,2000,5000,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:af1912c5b598,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,0.12226263513004998,0.12007218007679792,0.07366477958322228,-0.0017717930545710914,-1108.000000000029,0.0,0.09730834017767309,0.09972322018586285,0.04554778374357775,-0.0017717930545710914,-1108.000000000029,0.0,0.0,0.0,2.9932506549415105,False
Full,PR1_HT1_EC1,60004,4,500,2000,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:f55fe0988612,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:a8804fc163b2,0.31207084471445945,0.6618453574384813,0.1255471001481783,-0.22977204580129929,27778.0,-0.35197354122283286,0.31342912274749646,0.6434140873502744,0.11507061997832896,-0.22977204580129929,27778.0,-0.35197354122283286,0.35197354122283286,0.0,4.901502166470559,False
Full,PR1_HT1_EC1,60004,4,2000,5000,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:a8804fc163b2,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,0.2523230387212434,0.32201019979198503,0.10141810435264857,-0.000803029282786305,-3311.333333333343,0.0,0.19448727674526178,0.24293797555552543,0.1053336767871045,-0.000803029282786305,-3311.333333333343,0.0,0.0,0.0,2.160953326069116,False
