run_key,case_id,instance_seed,solver_seed,solver_repeat,model_id,physical_instance_hash,scenario_family,zone,planning_model,max_evaluations,evaluation_space,point_index,F1,F2,F3
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,8,2.561442897805704,115254.16666666667,-0.15353311136004777
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,9,2.648440651982799,122484.33333333334,-0.2798237330835036
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,10,2.668756300925935,98288.16666666667,-0.15353311136004777
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,11,2.769935102309254,120883.5,-0.34591194968743366
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,12,2.782859773640217,98546.83333333334,-0.3385371494669016
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,13,2.8210419139659972,93505.66666666667,-0.1825652018596884
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,14,2.8545001842294964,126028.66666666667,-0.40057636887740955
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,15,2.9269951386295685,93383.66666666667,-0.07405908539294614
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,16,2.944447300216542,86745.33333333334,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,replay,17,2.9530404965316848,82469.33333333334,-0.04467640918755933
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,0,2.460869941929812,122940.33333333333,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,1,2.4636498837653784,105643.33333333333,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,2,2.4659920070583734,104801.66666666666,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,3,2.468174745302771,104723.66666666666,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,4,2.4856404557963767,104199.33333333333,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,5,2.517355551473173,101013.33333333334,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,6,2.564130888114944,99899.5,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,7,2.565902681169515,98028.16666666667,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,8,2.567061111632916,162625.66666666666,-0.07405908539112716
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,9,2.5738376443132864,156988.5,-0.06267922982624441
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,10,2.575588914858886,157304.33333333334,-0.07405908539294614
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,11,2.577834698758217,148007.0,-0.3079249848779
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,12,2.615424297044368,95595.66666666667,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,13,2.623936721466862,138323.6666666667,-0.27640733712996735
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,14,2.625708514521433,137953.0,-0.27640733712996735
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,15,2.6443045238338136,115276.66666666669,-0.4349222030141391
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,16,2.6513031063993626,94550.66666666667,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,replay,17,2.813422170893209,100573.66666666669,-0.3947089947105269
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38,1,60000,0,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,500,replay,0,2.460869941929812,122940.33333333333,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38,1,60000,0,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,500,replay,1,2.4636498837653784,105643.33333333333,-0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38,1,60000,0,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,500,replay,2,2.4659920070583734,104801.66666666666,-0.0
