max_evaluations,case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,period,end_hours,total_satisfaction,min_satisfaction,zero_service_ratio,remaining_supply,remaining_supply_1,remaining_supply_2,remaining_supply_3,planning_model,period_end_hours
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,8,0.3176905151467747,0.0,0.45714285714285713,5413.909465023207,2122.294238683735,1604.8868312767627,1686.7283950627098,Full,8
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,0.6128632175756297,0.0,0.37142857142857144,2082.000000006292,1053.0000000017708,801.000000002,228.00000000252112,Full,16
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,24,0.641300496101472,0.0,0.34285714285714286,1761.0000000065838,1053.0000000017708,480.0000000022919,228.00000000252112,Full,24
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,4,32,0.7973068745570517,0.4349222030141391,0.0,0.0,0.0,0.0,0.0,Full,32
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5,40,0.7973068745570517,0.4349222030141391,0.0,0.0,0.0,0.0,0.0,Full,40
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,6,48,0.7973068745570517,0.4349222030141391,0.0,0.0,0.0,0.0,0.0,Full,48
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,7,56,0.7973068745570517,0.4349222030141391,0.0,0.0,0.0,0.0,0.0,Full,56
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,8,64,0.7973068745570517,0.4349222030141391,0.0,0.0,0.0,0.0,0.0,Full,64
500,WEN38,benchmark,original,1,60000,0,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,9,72,0.7973068745570517,0.4349222030141391,0.0,0.0,0.0,0.0,0.0,Full,72
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,8,0.31680461861948905,0.0,0.45714285714285713,5423.909465023207,1810.4423868321646,1999.5027434849726,1613.96433470607,No-PR,8
