run_key,case_id,instance_seed,solver_seed,solver_repeat,model_id,physical_instance_hash,scenario_family,zone,planning_model,max_evaluations,evaluations,runtime_seconds,termination_reason,reused_from_pilot,saved_decisions,planning_front_size,execution_front_size,planning_hypervolume,planning_igd,execution_hypervolume,execution_igd,representative_decision_hash,representative_planning_F1,representative_planning_F2,representative_planning_F3,representative_execution_F1,representative_execution_F2,representative_execution_F3,execution_min_satisfaction,execution_total_satisfaction,execution_zero_service_ratio,execution_remaining_supply
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:abbe524f5fc3,WEN38,1,60002,2,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,500,9.981354457995621,budget_exhausted,False,19,19,19,0.39327624162155655,0.3440230785426195,0.41733351800934715,0.367640085054827,e6d52e53ac7cf9ea,2.6545941087045013,152668.3333333333,-0.39582783205878513,2.6545941087045013,152668.3333333333,-0.39582783205878513,0.39582783205878513,0.7973068745570336,0.0,2.02817318495363e-10
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:6bf81821659d,WEN38,1,60002,2,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,500,500,28.708794375008438,budget_exhausted,False,19,19,19,0.39327624162155655,0.3440230785426195,0.41733351800934715,0.367640085054827,e6d52e53ac7cf9ea,2.6545941087045013,152668.3333333333,-0.39582783205878513,2.6545941087045013,152668.3333333333,-0.39582783205878513,0.39582783205878513,0.7973068745570336,0.0,2.02817318495363e-10
WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:8f1a51c5366d,WEN38,1,60003,3,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,500,22.64540770900203,budget_exhausted,False,23,23,10,0.5647694584018645,0.24547942161657346,0.28506130634651355,0.45762162207431684,cfc80bc27d25d77a,2.612499805565953,126634.0,-0.3755458515297505,2.5104525142146787,148964.0,-0.16890664729635319,0.16890664729635319,0.7973068745569718,0.0,9.022187441587448e-10
WEN38:i1:nsga2:s60003:r3:PR1_HT0_EC1:5993863257aa,WEN38,1,60003,3,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,500,24.25009349998436,budget_exhausted,False,24,24,15,0.6730322776535891,0.23460123998973192,0.8017632316609296,0.22314066670092234,3bfdac9d3913c7ed,2.466247377129241,134914.0,-0.7973068745568526,2.466247377129241,136918.0,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:3ec21dc8c2c8,WEN38,1,60003,3,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,500,8.3078764170059,budget_exhausted,False,22,22,22,0.7100627991591317,0.23469539316068613,0.7329954994006834,0.23113684136452614,18fc8d5b008ab27a,2.4690466492686394,155379.5,-0.7973068745568526,2.4690466492686394,155379.5,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:0c451e3d1f0d,WEN38,1,60003,3,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,500,500,30.041123749979306,budget_exhausted,False,22,22,22,0.7100627991591317,0.23469539316068613,0.7329954994006834,0.23113684136452614,18fc8d5b008ab27a,2.4690466492686394,155379.5,-0.7973068745568526,2.4690466492686394,155379.5,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:2a86c697db65,WEN38,1,60004,4,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,500,500,22.884198292013025,budget_exhausted,False,28,28,8,0.5338518639587474,0.24314604939008747,0.3511732364745346,0.4327486405004451,d210bc88bcbfb598,2.6593154268020607,110601.0,-0.3926201221147494,2.5425542645056156,133652.6666666667,-0.2798237330835036,0.2798237330835036,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR1_HT0_EC1:6d949d439727,WEN38,1,60004,4,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,500,500,23.847887582989642,budget_exhausted,False,29,29,20,0.45151556637241796,0.3091397796532684,0.48448011866973556,0.33752547687485596,d5552b75597b6446,3.2344146010346266,92035.66666666667,-0.406639004149838,3.2344146010346266,117587.66666666669,-0.406639004149838,0.406639004149838,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:daf2b42676e8,WEN38,1,60004,4,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,500,500,7.929561791999731,budget_exhausted,False,23,23,23,0.4715162555831126,0.300436082894928,0.4871343803463628,0.3277650900917591,f10c29e720eddbdc,2.692620336102448,134794.6666666667,-0.4453333333340197,2.692620336102448,134794.6666666667,-0.4453333333340197,0.4453333333340197,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:f55fe0988612,WEN38,1,60004,4,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,500,500,22.69311204101541,budget_exhausted,False,23,23,23,0.4715162555831126,0.300436082894928,0.4871343803463628,0.3277650900917591,f10c29e720eddbdc,2.692620336102448,134794.6666666667,-0.4453333333340197,2.692620336102448,134794.6666666667,-0.4453333333340197,0.4453333333340197,0.7973068745570517,0.0,0.0
