max_evaluations,reduced_model,solver_pairs,mean_full_hv_advantage,median_full_hv_advantage,min_full_hv_advantage,max_full_hv_advantage,mean_full_igd_advantage,median_full_igd_advantage,min_full_igd_advantage,max_full_igd_advantage,hv_Full_pairs,hv_reduced_pairs,hv_equal_pairs,igd_Full_pairs,igd_reduced_pairs,igd_equal_pairs,representative_Full_dominates_pairs,representative_reduced_dominates_pairs,representative_equal_pairs,representative_tradeoff_pairs
500,No-EC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,5,0,0,5,0
500,No-HT,5,-6.0123837058434495e-05,-0.03191255752262068,-0.06876773226024613,0.14698511139417358,0.01867662767753344,0.0007953382703172474,-0.01894533968789297,0.10976892768574986,2,3,0,3,2,0,0,1,0,4
500,No-PR,5,0.2421965632973631,0.2811266295527938,0.05894671140351199,0.44793419305416987,0.15359705727901046,0.2044560080233665,0.010982573448780841,0.2264847807097907,5,0,0,5,0,0,3,0,0,2
2000,No-EC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,5,0,0,5,0
2000,No-HT,5,0.02792360950642403,0.01766994226007612,-0.07312226757992724,0.1305691006774663,0.0032963121957638925,0.01162316999760396,-0.027539148346914608,0.033074695766164675,3,2,0,3,2,0,2,0,0,3
2000,No-PR,5,0.3884507237746051,0.3316389067638016,0.27085125000423704,0.5460189975334195,0.1606099721649693,0.14153582226814138,0.09252946492435671,0.24152763965484464,5,0,0,5,0,0,1,0,0,4
5000,No-EC,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,5,0,0,5,0
5000,No-HT,5,0.04054860946111551,-0.019311461878248393,-0.06697841877913202,0.28792280773059753,0.01013617250960521,-0.010217228840550818,-0.012854962618175286,0.08003592611461123,2,3,0,2,3,0,2,0,0,3
5000,No-PR,5,0.31973142064065974,0.2652778336396092,0.2181553550417461,0.44506946696476557,0.12063540711510794,0.09055774432326251,0.0820231129005599,0.17671343361508096,5,0,0,5,0,0,2,0,0,3
