low_budget,high_budget,planning_model,solver_pairs,small_change_pairs,required_small_pairs,planning_plateau_screen,mean_planning_hv_gain,median_planning_hv_gain,min_planning_hv_gain,max_planning_hv_gain,mean_planning_relative_hv_gain,median_planning_relative_hv_gain,min_planning_relative_hv_gain,max_planning_relative_hv_gain,mean_planning_igd_gain,median_planning_igd_gain,min_planning_igd_gain,max_planning_igd_gain,mean_execution_hv_gain,median_execution_hv_gain,min_execution_hv_gain,max_execution_hv_gain,mean_execution_relative_hv_gain,median_execution_relative_hv_gain,min_execution_relative_hv_gain,max_execution_relative_hv_gain,mean_execution_igd_gain,median_execution_igd_gain,min_execution_igd_gain,max_execution_igd_gain,mean_execution_min_satisfaction_change,median_execution_min_satisfaction_change,min_execution_min_satisfaction_change,max_execution_min_satisfaction_change,mean_runtime_ratio,median_runtime_ratio,min_runtime_ratio,max_runtime_ratio
500,2000,Full,5,0,4,False,0.410960446296476,0.3983893773659095,0.3081800198839726,0.5829329245023653,0.8772973678719584,0.860674705100112,0.4340179773520378,1.4822480048599336,0.1643823468148431,0.13586002547129633,0.1255471001481783,0.25653343488045827,0.37269510603276984,0.3741124383993103,0.24278867600310983,0.5248039541884156,0.7640038096667594,0.7744426905790271,0.33122805829179075,1.2575169056434654,0.15600701436865289,0.15529447457332046,0.10836485671235016,0.2403405382874779,0.2940212310271818,0.35426889987229515,0.0,0.40147904249806743,6.979255737962218,4.901502166470559,3.4437431872124553,11.625362786635801
500,2000,No-EC,5,0,4,False,0.410960446296476,0.3983893773659095,0.3081800198839726,0.5829329245023653,0.8772973678719584,0.860674705100112,0.4340179773520378,1.4822480048599336,0.1643823468148431,0.13586002547129633,0.1255471001481783,0.25653343488045827,0.37269510603276984,0.3741124383993103,0.24278867600310983,0.5248039541884156,0.7640038096667594,0.7744426905790271,0.33122805829179075,1.2575169056434654,0.15600701436865289,0.15529447457332046,0.10836485671235016,0.2403405382874779,0.2940212310271818,0.35426889987229515,0.0,0.40147904249806743,8.754657520004486,4.513380630311023,3.8197494299543284,16.13505862688924
500,2000,No-HT,5,0,4,False,0.2957960670993966,0.2876689079276651,0.1439790935437919,0.4630438308456474,0.6627161727982217,0.5959642338623979,0.3188795786168653,1.0720106367690256,0.14394353200092774,0.12445109735731505,0.10018068290420123,0.19860015803427367,0.34471137268928737,0.35875883904282024,0.1855142837466574,0.5344213583006274,0.738368946809917,0.6719340100007194,0.30824961979212995,1.18337808456403,0.17138732985042243,0.14083539999198003,0.11320783676382187,0.24299687560774377,0.21564313010985642,0.2560037777393518,0.0,0.3517647653934546,7.400686242924094,4.0128249694394675,3.9150329671328015,13.053302871218504
500,2000,No-PR,5,0,4,False,0.3039600023747945,0.30217183542937354,0.2547474673026554,0.364083141231925,0.591094521515772,0.5424140959691812,0.47718755801204926,0.7763415135066026,0.14447327965481957,0.16354840025594794,0.09243560750409449,0.18116449828127368,0.22644094555552785,0.15434303610127564,0.08505343153840933,0.41987161905304266,0.8893526031809131,0.6946107178162647,0.23732299842151755,1.602405557293849,0.14899409948269407,0.14051531644137072,0.025194482151948305,0.2335213330289475,-0.046015840589279836,-0.05998356614873046,-0.21984016693477315,0.16963050217054843,6.945207664348359,4.279855008124915,3.3804645123641652,11.695314439533218
2000,5000,Full,5,0,4,False,0.156929451332264,0.12634274767170472,0.11277389216802458,0.2523230387212434,0.17719300641593907,0.13093911623360852,0.12007218007679792,0.32201019979198503,0.06278951203482017,0.05532826765841008,0.0417657561808468,0.10141810435264857,0.12603071615570224,0.10266167354641875,0.09730834017767309,0.19448727674526178,0.14351701461303837,0.11976598746851687,0.09972322018586285,0.24293797555552543,0.05440183537314057,0.04554778374357775,0.034331114105681904,0.1053336767871045,0.0,0.0,0.0,0.0,3.2809628409671454,3.7008364077505256,2.160953326069116,3.792106343515214
2000,5000,No-EC,5,0,4,False,0.156929451332264,0.12634274767170472,0.11277389216802458,0.2523230387212434,0.17719300641593907,0.13093911623360852,0.12007218007679792,0.32201019979198503,0.06278951203482017,0.05532826765841008,0.0417657561808468,0.10141810435264857,0.12603071615570224,0.10266167354641875,0.09730834017767309,0.19448727674526178,0.14351701461303837,0.11976598746851687,0.09972322018586285,0.24293797555552543,0.05440183537314057,0.04554778374357775,0.034331114105681904,0.1053336767871045,0.0,0.0,0.0,0.0,2.1962260377111855,2.0802957467616747,1.764779000381726,2.9631169467441882
2000,5000,No-HT,5,0,4,False,0.15383154660465514,0.13663683701860818,0.07938164733096142,0.23882935312663467,0.2156807878539288,0.177366631379064,0.08869622142631083,0.36183819952279583,0.053797473881532866,0.059535206868687005,0.016078016394495173,0.07711570216656215,0.11340571620101077,0.09116449137687788,0.03713356969213055,0.2639129930000794,0.13807045708589943,0.08691384440117582,0.055423701389452074,0.35964897077004315,0.04756197505929925,0.036920920670097224,0.022946665938073874,0.08250152533923866,-0.06503237177203118,0.0,-0.533325929152852,0.20816407029269612,2.1585979907295325,2.1970418032788532,1.964555328979889,2.3704938636749566
2000,5000,No-PR,5,0,4,False,0.1515751434426261,0.16015094613949432,0.09701795002289937,0.19806615314059717,0.18698080186264643,0.1863826609812755,0.10444924206612521,0.2511619592978614,0.06269029207514853,0.05245922297773074,0.03384887287401715,0.10019726795019994,0.19475001928964766,0.16902274667061112,0.13856154533978526,0.2713791522215647,0.4121190555424537,0.3592659773290312,0.19655990002346468,0.6463205407611137,0.09437640042300192,0.0945617228579329,0.05631834381350859,0.1158400288109013,0.09857707741612103,0.07405908539294614,-0.0811531832205219,0.2758579196406572,2.6715840296402957,2.6153762725223513,2.5753599278700046,2.9474470692733603
