run_key,case_id,source,size_group,num_nodes,instance_seed,solver_seed,algorithm,model_version,physical_instance_hash,model_fingerprint,model_id,progressive_recovery,heterogeneous_vehicle_thresholds,edge_capacity_constraint,max_evaluations,evaluations,termination_reason,runtime_seconds,pareto_size,F1,F2,F3,hypervolume,igd,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,partial_recovery_edge_periods,small_vehicle_share,max_edge_utilization,high_utilization_edge_periods,capacity_blocked_tons,total_vehicle_trips,total_delivery_time,total_repair_work,total_crew_transfer_time
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:e75396dd6481,S025,synthetic,small,25,101,1060000,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,50088ee192db878ba9b9c8ff5c93b4a4664f289294501abb328e6a57bed7fd0d,PR0_HT1_EC1,0,1,1,200,200,budget_exhausted,3.7070281250053085,4,3.823554957782548,3340.925117083308,-0.899999999999722,0.7833354733911313,0.19065125974277952,0.8999999999997221,0.899999999999722,1.0,0.16666666666666666,16.0,0.5201385293549318,0.029566195739192856,0.0,0.0,122.0,2908.925117083308,8640.0,0.0
S025:i101:nsga2:s1060000:r0:PR1_HT0_EC1:eebdce01c867,S025,synthetic,small,25,101,1060000,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,db95e4025664dc1d4b26fdbf14865fb2fcf53477af9fca5a146c07025291a008,PR1_HT0_EC1,1,0,1,200,200,budget_exhausted,3.782518207997782,3,3.813485706232993,3275.346791307033,-0.8999999999997058,0.8953319562489794,0.1761103097216351,0.8999999999997059,0.8999999999997058,1.0,0.25,16.0,0.5274692425284437,0.025017550240855495,0.0,0.0,125.0,2843.346791307033,8640.0,0.0
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC0:25f3900e8795,S025,synthetic,small,25,101,1060000,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,3d7f4270471c90a538bd4c9ecf53eeb3234cc7921d345b3a5678b864d3b69dec,PR1_HT1_EC0,1,1,0,200,200,budget_exhausted,0.985312790988246,3,3.813485706232993,3275.346791307033,-0.8999999999997058,0.8953319562489794,0.1761103097216351,0.8999999999997059,0.8999999999997058,1.0,0.25,16.0,0.5274692425284437,0.0,0.0,0.0,125.0,2843.346791307033,8640.0,0.0
S025:i101:nsga2:s1060000:r0:PR1_HT1_EC1:5d2c1b44a903,S025,synthetic,small,25,101,1060000,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,PR1_HT1_EC1,1,1,1,200,200,budget_exhausted,3.844639290997293,3,3.813485706232993,3275.346791307033,-0.8999999999997058,0.8953319562489794,0.1761103097216351,0.8999999999997059,0.8999999999997058,1.0,0.25,16.0,0.5274692425284437,0.025017550240855495,0.0,0.0,125.0,2843.346791307033,8640.0,0.0
S025:i101:nsga2:s1060001:r1:PR0_HT1_EC1:b244666b4820,S025,synthetic,small,25,101,1060001,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,50088ee192db878ba9b9c8ff5c93b4a4664f289294501abb328e6a57bed7fd0d,PR0_HT1_EC1,0,1,1,200,200,budget_exhausted,3.7516444999782834,7,3.8645925974817033,3219.054435125229,-0.8999999999999472,0.8720762560476059,0.13287565212997762,0.8999999999999473,0.8999999999999472,1.0,0.16666666666666666,16.0,0.51384791041355,0.02046890474251813,0.0,0.0,125.0,2787.054435125229,8640.0,0.0
S025:i101:nsga2:s1060001:r1:PR1_HT0_EC1:b0a20e1314db,S025,synthetic,small,25,101,1060001,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,db95e4025664dc1d4b26fdbf14865fb2fcf53477af9fca5a146c07025291a008,PR1_HT0_EC1,1,0,1,200,200,budget_exhausted,3.751277957984712,5,3.7811120595503427,3410.099316768857,-0.8999999999997752,0.7935972774301904,0.16954510085135943,0.8999999999997753,0.8999999999997752,1.0,0.25,16.0,0.49508535527169123,0.020915621393715278,0.0,0.0,125.0,2978.099316768857,8640.0,0.0
S025:i101:nsga2:s1060001:r1:PR1_HT1_EC0:483dc0750b46,S025,synthetic,small,25,101,1060001,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,3d7f4270471c90a538bd4c9ecf53eeb3234cc7921d345b3a5678b864d3b69dec,PR1_HT1_EC0,1,1,0,200,200,budget_exhausted,0.9796224159945268,6,3.8204587787682227,3369.5078594810275,-0.8999999999998763,0.8968288209491984,0.09402022800169664,0.8999999999998765,0.8999999999998763,1.0,0.16666666666666666,16.0,0.49961672059335527,0.0,0.0,0.0,124.0,2937.5078594810275,8640.0,0.0
S025:i101:nsga2:s1060001:r1:PR1_HT1_EC1:76d065918afc,S025,synthetic,small,25,101,1060001,nsga2,v2,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,43724cbfacfa6475817a86376bfc1b4add33ed22c8a35e9c22f4407f20ae440a,PR1_HT1_EC1,1,1,1,200,200,budget_exhausted,3.8070487910008524,6,3.8204587787682227,3369.5078594810275,-0.8999999999998763,0.8968288209491984,0.09402022800169664,0.8999999999998765,0.8999999999998763,1.0,0.16666666666666666,16.0,0.49961672059335527,0.014783097869596428,0.0,0.0,124.0,2937.5078594810275,8640.0,0.0
