run_key,origin_budget,solver_seed,decision_hash,max_edge_utilization,capacity_blocked_tons
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,500,60001,5ca364720b7007ee,0.06927083333333334,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,500,60001,1350bc637d0ac81f,0.044583333333333336,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,500,60001,de94e6bcba7d4aff,0.0625,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,500,60001,870ae6c51b8652c7,0.041979166666666665,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,500,60001,6066f33572ce6fc4,0.0453125,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,500,60001,1e699834ec4ff0d7,0.0275,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,db03657b9124fc2a,0.0425,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,1e6bea6ca0ebf9bf,0.03770833333333334,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,9b28c35fb8712573,0.0384375,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,07d9d68de1531dca,0.040546875,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,4d3d26f4c6462f70,0.034270833333333334,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,e4454b05e2e9023e,0.0425,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,526fc34fa5d620e9,0.0425,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,abc5bbc8f0da2691,0.032916666666666664,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,581439a8fc8722ce,0.034583333333333334,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,540408d122a7a509,0.033541666666666664,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,edce75ee35c1ea1d,0.033,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,a0ada14cba9d2373,0.033625,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,74289d664275c345,0.03425,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,3d61687220eacfa8,0.05458333333333333,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,817ae349c84c4664,0.041354166666666664,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,15ed6fe6ff5d8ab4,0.0281875,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,a44d2634cbc84c17,0.03333333333333333,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,6593a7e547f28d80,0.0328125,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,5f15f7166a893d35,0.0328125,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,4c73e371548cdae8,0.035,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,ff4c76b43a3cefae,0.0286875,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,3c950aed3d0d3001,0.0318125,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,5000,60000,d52e1a4dd88d77d4,0.0334375,0.0
