run_key,decision_hash,origin_budget,solver_seed,variant,changed,F1,F2,F3,delta_F1,delta_F2,delta_F3,F1_lower,F1_higher,F2_lower,F2_higher,min_satisfaction_lower,min_satisfaction_higher
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,6c31b938521002fd,5000,60002,fleet_x2,True,2.1048901488310863,87994.0,-0.0,-0.3606677668271612,-37784.5,0.7973068745568526,True,False,True,False,True,False
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,6c31b938521002fd,5000,60002,supply_x1_5,True,1.101148471448424,163174.83333333334,-0.9999999999994303,-1.3644094442098234,37396.33333333334,-0.20269312544257778,True,False,False,True,False,True
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,6c31b938521002fd,5000,60002,road_capacity_x2,False,2.4655579156582474,125778.5,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,ad36adc4994e63d3,5000,60003,baseline,False,2.458425273190352,172072.66666666666,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,ad36adc4994e63d3,5000,60003,no_ec,False,2.458425273190352,172072.66666666666,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,ad36adc4994e63d3,5000,60003,fleet_x2,True,2.1048901488314007,119263.33333333334,-0.0,-0.3535351243589515,-52809.333333333314,0.7973068745568526,True,False,True,False,True,False
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,ad36adc4994e63d3,5000,60003,supply_x1_5,True,1.0920270833504322,195879.0,-0.9999999999994871,-1.36639818983992,23806.333333333343,-0.20269312544263451,True,False,False,True,False,True
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,ad36adc4994e63d3,5000,60003,road_capacity_x2,False,2.458425273190352,172072.66666666666,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,20165467d8264ae5,5000,60004,baseline,False,2.4620452610183623,159261.33333333334,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,20165467d8264ae5,5000,60004,no_ec,False,2.4620452610183623,159261.33333333334,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,20165467d8264ae5,5000,60004,fleet_x2,True,2.1048901488310863,92714.33333333334,-0.0,-0.357155112187276,-66547.0,0.7973068745568526,True,False,True,False,True,False
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,20165467d8264ae5,5000,60004,supply_x1_5,True,1.1016664918611259,188108.66666666666,-0.9999999999994662,-1.3603787691572364,28847.333333333314,-0.20269312544261364,True,False,False,True,False,True
WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,20165467d8264ae5,5000,60004,road_capacity_x2,False,2.4620452610183623,159261.33333333334,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,02ba78d345248a7f,2000,60000,baseline,False,2.46755044581937,136413.66666666666,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,02ba78d345248a7f,2000,60000,no_ec,False,2.46755044581937,136413.66666666666,-0.7973068745568526,0.0,0.0,0.0,False,False,False,False,False,False
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,02ba78d345248a7f,2000,60000,fleet_x2,True,2.104890148831216,99191.66666666666,-0.0,-0.36266029698815405,-37222.0,0.7973068745568526,True,False,True,False,True,False
