run_key,solution_id,physical_instance_hash,planning_model,planning_model_fingerprint,execution_model,execution_model_fingerprint,instance_seed,solver_seed,algorithm,decision_hash,planning_F1,planning_F2,planning_F3,replay_F1,replay_F2,replay_F3,replay_minus_planning_F1,replay_minus_planning_F2,replay_minus_planning_F3,replay_final_total_satisfaction,replay_final_min_satisfaction,replay_zero_service_ratio,replay_remaining_supply,representative_selected_before_replay,replay_success,replay_error
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0001,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,65a963d0b5a1c36a,4.323837164030483,3780.4318118489027,-0.8999999999999966,4.323837164030483,3780.4318118489027,-0.8999999999999966,0.0,0.0,0.0,0.8999999999999967,0.8999999999999966,0.0,4.021671884402167e-12,True,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0002,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,b20a4b6ded885947,4.081616464941863,3503.657384237681,-0.8999999999999954,4.081616464941863,3503.657384237681,-0.8999999999999954,0.0,0.0,0.0,0.8999999999999955,0.8999999999999954,0.0,5.4072302191343624e-12,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0003,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,cff78aab49aba54d,4.008414981216507,3454.7546513945254,-0.8999999999999925,4.008414981216507,3454.7546513945254,-0.8999999999999925,0.0,0.0,0.0,0.8999999999999926,0.8999999999999925,0.0,8.625988812127616e-12,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0004,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,7763f820bc0644e2,3.894259127244707,3521.1330212471557,-0.8999999999999769,3.894259127244707,3521.1330212471557,-0.8999999999999769,0.0,0.0,0.0,0.899999999999977,0.8999999999999769,0.0,2.617639438540209e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0005,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,db74fc7fffa90724,3.881398006394529,3458.9731907561627,-0.8999999999999714,3.881398006394529,3458.9731907561627,-0.8999999999999714,0.0,0.0,0.0,0.8999999999999715,0.8999999999999714,0.0,3.2443381314806174e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0006,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,b3f9b0ab733bbf68,3.8813827854757013,3389.3277764930463,-0.8999999999999586,3.8813827854757013,3389.3277764930463,-0.8999999999999586,0.0,0.0,0.0,0.8999999999999587,0.8999999999999586,0.0,4.6995296543173026e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0007,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,d01a42bcf9b83808,3.8999863783254165,3235.996937893068,-0.8999999999999472,3.8999863783254165,3235.996937893068,-0.8999999999999472,0.0,0.0,0.0,0.8999999999999473,0.8999999999999472,0.0,5.987033091514604e-11,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0008,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,d38f3170fa760d08,3.8645799065652753,3363.618217619317,-0.8999999999998826,3.8645799065652753,3363.618217619317,-0.8999999999998826,0.0,0.0,0.0,0.8999999999998826,0.8999999999998826,0.0,1.3314149782672757e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0009,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,aac8804c03462971,3.8645799065652753,3363.618217619317,-0.8999999999998826,3.8645799065652753,3363.618217619317,-0.8999999999998826,0.0,0.0,0.0,0.8999999999998826,0.8999999999998826,0.0,1.3314149782672757e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0010,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,1578a912d83dc5ef,3.895216827305889,3234.541123431011,-0.8999999999998799,3.895216827305889,3234.541123431011,-0.8999999999998799,0.0,0.0,0.0,0.89999999999988,0.8999999999998799,0.0,1.3595524706033757e-10,False,True,
