overlay_type,overlay_seed,decision_id,decision_hash,threshold_sensitive_edge_periods,threshold_sensitive_od_periods,vehicle_access_set_changes,allocation_route_changed,allocation_vehicle_changed,allocation_amount_changed,allocation_trips_changed,allocation_pairing_changed,allocation_any_changed,delta_F1,delta_F2,delta_F3,F1,F2,F3,no_ht_F1,no_ht_F2,no_ht_F3,objective_changed,od_periods_considered
SR-B,17,random_2,baa7398a643f38c4,10,71,27,2,2,2,2,0,2,-0.00044294826364321693,-1389.333333333343,0.0,2.474339398320602,161762.33333333334,-0.0,2.4738964500569587,160373.0,0.0,True,945
SR-B,17,random_3,d672e6a0eadccda5,11,157,18,1,2,1,2,0,2,0.0,6912.666666666657,0.0,2.524837697579524,177465.6666666667,-0.0,2.524837697579524,184378.33333333334,0.0,True,945
SR-B,18,spt,ef41ec53706a1f33,6,42,3,0,0,0,0,0,0,0.0,0.0,0.0,2.4855867817769424,111132.33333333334,-0.0,2.4855867817769424,111132.33333333334,0.0,False,945
SR-B,18,random_0,32f41d70c5865df0,6,54,18,0,0,0,0,0,0,0.0,0.0,0.0,2.4817761512920606,133545.66666666666,-0.0,2.4817761512920606,133545.66666666666,0.0,False,945
SR-B,18,random_1,3f4f67e2bbfe6e59,11,107,24,2,2,2,2,0,2,-0.0008858965272855457,-24606.0,0.0,2.4783610308005306,184459.33333333334,-0.0,2.477475134273245,159853.33333333334,0.0,True,945
SR-B,18,random_2,42b323444c9fbb9c,8,57,12,2,2,2,2,0,2,-0.0008858965272864339,-17575.0,0.0,2.484437990992661,163706.66666666666,-0.0,2.4835520944653746,146131.66666666666,0.0,True,945
SR-B,18,random_3,71f352e7c069dcfc,8,49,6,1,1,2,2,0,2,-0.0017717930545710914,-1881.0,0.0,2.4801946432731885,133823.0,-0.0,2.4784228502186174,131942.0,0.0,True,945
SR-B,19,spt,a00ce0bad4b7efa1,6,38,12,1,1,1,1,0,1,0.0,-3074.333333333314,0.0,2.481517097667659,181379.0,-0.0,2.481517097667659,178304.6666666667,0.0,True,945
SR-B,19,random_0,68abb16c6a376c0b,9,87,6,1,1,2,2,0,2,0.0013288447909278744,-274.66666666668607,0.0,2.5487088936251006,185976.6666666667,-0.0,2.5500377384160284,185702.0,0.0,True,945
SR-B,19,random_1,da5e4b799a5e6f9a,7,88,18,2,2,2,3,0,3,0.0,-22305.99999999997,0.0,2.5456104370966015,203145.3333333333,-0.0,2.5456104370966015,180839.33333333334,0.0,True,945
SR-B,19,random_2,97be5a9f023b8c93,4,31,3,2,2,2,3,0,3,-0.0008858965273574881,-8338.00000000003,0.0,2.554333299138957,171882.0,-0.0,2.5534474026115994,163543.99999999997,0.0,True,945
SR-B,19,random_3,56a98a575fdbfbca,6,90,3,1,2,2,2,0,2,-0.0008858965272855457,4310.666666666686,0.0,2.481763607840609,204354.0,-0.0,2.4808777113133234,208664.6666666667,0.0,True,945
SR-B,20,spt,6c62adc10d6d706d,6,27,3,2,1,2,2,0,2,0.0,4754.0,0.0,2.4821645394512206,163592.6666666667,-0.5412521942653257,2.4821645394512206,168346.6666666667,-0.5412521942653257,True,945
SR-B,20,random_0,3636357e5dea6c15,7,30,15,1,1,1,1,0,1,0.0,-17270.0,0.0,2.5036016584423546,185933.5,-0.0,2.5036016584423546,168663.5,0.0,True,945
SR-B,20,random_1,3a17476ea94476c1,8,150,15,3,3,3,3,0,3,-0.006222598375497768,-11402.0,-9.094947017729282e-13,2.499851074069287,200357.66666666666,-0.0815658516385156,2.4936284756937894,188955.66666666666,-0.08156585163942509,True,945
SR-B,20,random_2,13c9e4ca7ebdebaf,8,65,21,2,2,2,2,0,2,-0.0062250746626197895,13770.5,-0.12886568396879738,2.481276188284917,167466.66666666666,-0.5717378048157116,2.475051113622297,181237.16666666666,-0.700603488784509,True,945
SR-B,20,random_3,8a2d27c7a9dfc7aa,8,73,3,1,1,1,1,0,1,0.0,2434.0,0.0,2.474937315447332,194374.33333333334,-0.0,2.474937315447332,196808.33333333334,0.0,True,945
SR-C,1,spt,091f24019f4b9a13,6,19,3,0,0,0,0,0,0,0.0,0.0,0.0,2.48152705462574,164549.0,-0.0,2.48152705462574,164549.0,0.0,False,945
SR-C,1,random_0,8d40d32635ded60e,6,71,3,1,1,1,1,0,1,0.0,90.33333333334303,0.0,2.4794273681710743,210024.0,-0.0,2.4794273681710743,210114.33333333334,0.0,True,945
SR-C,1,random_1,931983b1cfc56e73,8,54,3,0,0,0,0,0,0,0.0,0.0,0.0,2.4820112348186525,211453.5,-0.0,2.4820112348186525,211453.5,0.0,False,945
SR-C,1,random_2,9ba7f727ed7754d2,10,70,9,1,0,2,2,0,2,-0.0013288447909287626,-4652.666666666686,0.0,2.4856660423597594,202621.6666666667,-0.0,2.4843371975688306,197969.0,0.0,True,945
SR-C,1,random_3,1b522b8967324985,5,65,3,1,1,1,1,0,1,0.0,-799.333333333343,0.0,2.4795737695452598,208972.33333333334,-0.0,2.4795737695452598,208173.0,0.0,True,945
SR-C,2,spt,0f45b9619488b0f1,6,87,63,3,3,3,3,0,3,-0.13361508823615598,21568.0,0.0,2.7312320819851985,123000.33333333334,-0.7333644097416254,2.5976169937490425,144568.33333333334,-0.7333644097416254,True,945
SR-C,2,random_0,af10a63c8f0d3d81,7,36,19,0,0,0,0,0,0,0.0,0.0,0.0,2.8199409459782334,109947.0,-0.0,2.8199409459782334,109947.0,0.0,False,945
SR-C,2,random_1,0da01ecea6eb06b7,6,29,6,0,0,0,0,0,0,0.0,0.0,0.0,2.474283958716007,118315.0,-0.0,2.474283958716007,118315.0,0.0,False,945
SR-C,2,random_2,c9d2cca74e8698da,8,43,23,1,2,1,2,0,2,0.0,-5204.666666666657,0.0,2.6447825127950457,157499.0,-0.0,2.6447825127950457,152294.33333333334,0.0,True,945
SR-C,2,random_3,4356f2135ec35c26,7,58,41,2,2,2,2,0,2,-0.11171733904477943,-12466.666666666672,0.0,2.58336612607543,143363.0,-0.0,2.4716487870306505,130896.33333333333,0.0,True,945
SR-C,3,spt,c30083f3dc5743cf,6,106,6,2,2,2,2,0,2,-0.0033976211562380954,5810.333333333372,0.0,2.484564212563928,213040.0,-0.0,2.48116659140769,218850.33333333337,0.0,True,945
SR-C,3,random_0,153214b2a250d8eb,5,44,9,1,1,1,1,0,1,0.0,-1779.333333333343,0.0,2.4786237527250696,248369.33333333334,-0.0,2.4786237527250696,246590.0,0.0,True,945
SR-C,3,random_1,6c92374b1baae84e,7,95,9,1,1,1,1,0,1,0.0,-3014.0,0.0,2.4787700870741087,226841.66666666666,-0.0,2.4787700870741087,223827.66666666666,0.0,True,945
SR-C,3,random_2,b47c0b820f965c3e,9,110,27,2,2,2,2,0,2,-0.0008858965272855457,-12307.333333333372,0.0,2.483239638792238,262472.3333333334,-0.0,2.4823537422649524,250165.0,0.0,True,945
SR-C,3,random_3,b7af423b91c30526,5,50,21,2,2,2,2,0,2,-0.004872430900070945,-6849.333333333343,0.0,2.4783998345266207,246217.33333333334,-0.0,2.4735274036265498,239368.0,0.0,True,945
SR-C,4,spt,d8768143812ae8e9,6,86,40,2,2,2,2,0,2,-0.06586603186797646,-22344.0,0.692110275882137,2.8011153115306895,203366.6666666667,-0.7651647336542737,2.735249279662713,181022.6666666667,-0.0730544577721367,True,945
SR-C,4,random_0,bf924fb194ff260d,6,77,40,3,3,3,3,0,3,-0.0929016517789556,-20797.833333333372,0.7579141770474962,2.7284662476998482,172611.1666666667,-0.7579141770474962,2.6355645959208926,151813.3333333333,0.0,True,945
SR-C,4,random_1,5bce398ed79397f9,9,87,41,3,4,3,4,0,4,-0.06528956949239717,-24283.0,0.10509814917917593,3.0606516136526727,176471.6666666667,-0.7651647336544926,2.9953620441602755,152188.6666666667,-0.6600665844753166,True,945
SR-C,4,random_2,22eb70e88771ff9f,7,70,41,1,2,3,3,0,3,-0.0008858965272855457,-6221.0,-0.001065643648871628,3.0033452155449325,172380.6666666667,-0.7640901474624116,3.002459319017647,166159.6666666667,-0.7651557911112832,True,945
SR-C,4,random_3,77624f239dfe55ac,8,105,38,3,3,3,3,0,3,-0.0955102377020447,-23999.0,0.0,2.5772595041175492,186686.6666666667,-0.0,2.4817492664155045,162687.6666666667,0.0,True,945
SR-C,5,spt,39fc41ca2464649c,6,18,6,0,0,0,0,0,0,0.0,0.0,0.0,2.4870558327820307,148124.0,-0.0,2.4870558327820307,148124.0,0.0,False,945
SR-C,5,random_0,d5a44b566d57fa6d,7,26,5,2,1,2,2,0,2,0.0,-707.666666666657,0.0,3.1070505183890367,171565.8333333333,-0.0,3.1070505183890367,170858.16666666666,0.0,True,945
SR-C,5,random_1,d1a71c6f671ebfe6,8,26,6,1,1,1,1,0,1,0.0,-20201.666666666686,0.0,2.48956751395684,184744.6666666667,-0.0,2.48956751395684,164543.0,0.0,True,945
SR-C,5,random_2,6f58935a216649c7,7,18,6,0,0,0,0,0,0,0.0,0.0,0.0,2.491118098446374,165363.16666666666,-0.7973068745570278,2.491118098446374,165363.16666666666,-0.7973068745570278,False,945
SR-C,5,random_3,9bbf5ec8f1c48ec3,8,93,38,1,1,1,1,0,1,0.0,-694.666666666657,0.0,2.5190471316538288,212405.33333333334,-0.0,2.5190471316538288,211710.6666666667,0.0,True,945
SR-C,6,spt,2e35455c9f99ed37,6,63,3,2,2,2,2,0,2,-0.0013288447909287626,-887.3333333333139,2.8910207561239076e-13,2.4857083417644947,165763.0,-0.7973068745569581,2.484379496973566,164875.6666666667,-0.797306874556669,True,945
SR-C,6,random_0,96f9038aee9af154,8,50,4,0,0,0,0,0,0,0.0,0.0,0.0,3.279895971359734,133700.0,-0.0,3.279895971359734,133700.0,0.0,False,945
SR-C,6,random_1,c53ea0d41d50e1e0,9,49,3,0,0,0,0,0,0,0.0,0.0,0.0,2.941273395643801,148233.0,-0.0,2.941273395643801,148233.0,0.0,False,945
SR-C,6,random_2,0f6af0f77f248cae,8,108,3,0,0,0,0,0,0,0.0,0.0,0.0,2.4783803882213107,171990.1666666667,-0.0,2.4783803882213107,171990.1666666667,0.0,False,945
SR-C,6,random_3,1fbc2eee7593dc9a,8,111,0,2,2,2,2,0,2,0.0008858965272855457,-10029.0,0.0,2.486530898647625,169062.0,-0.0,2.4874167951749104,159033.0,0.0,True,945
SR-C,7,spt,58a6f153f8ebfb71,6,72,10,0,2,0,1,0,2,0.0,-60.0,0.0,2.608589490434655,124354.83333333333,-0.7646001382472605,2.608589490434655,124294.83333333333,-0.7646001382472605,True,945
SR-C,7,random_0,cc14b50f63cf713a,6,87,42,1,1,1,1,0,1,0.0,-32321.333333333314,0.0,2.7415826324905295,147975.66666666666,-0.41211851191746973,2.7415826324905295,115654.33333333334,-0.41211851191746973,True,945
SR-C,7,random_1,60dfffaf29602fdf,10,112,42,3,3,4,4,0,4,-0.07286877049226526,-35517.99999999997,0.0,2.949587127365511,182919.66666666666,-0.6626487309476943,2.876718356873246,147401.6666666667,-0.6626487309476943,True,945
SR-C,7,random_2,7e08dd27379e64ad,10,110,42,2,3,3,3,0,3,0.0017717930545710914,-22199.333333333343,0.0,2.7510051212945212,168486.33333333334,-0.766339869280273,2.7527769143490923,146287.0,-0.766339869280273,True,945
SR-C,7,random_3,01b379291582a044,8,98,52,2,2,3,3,0,3,-0.0013288447909287626,-40121.333333333314,0.0,2.61488134464986,204578.66666666666,-0.6578954443584735,2.6135524998589315,164457.33333333334,-0.6578954443584735,True,945
SR-C,8,spt,35e21ecc2d21d94c,6,53,0,0,0,0,0,0,0,0.0,0.0,0.0,2.4874832728903264,150962.0,-0.0,2.4874832728903264,150962.0,0.0,False,945
SR-C,8,random_0,d2830ced56cafd3c,8,44,3,1,0,1,1,0,1,0.0,-167.33333333334303,0.0,2.481838872655385,167372.33333333334,-0.0,2.481838872655385,167205.0,0.0,True,945
SR-C,8,random_1,41bb8a5eee09a122,5,36,0,0,0,0,0,0,0,0.0,0.0,0.0,2.4898911164987796,174830.0,-0.0,2.4898911164987796,174830.0,0.0,False,945
SR-C,8,random_2,ee9200228949bef3,9,49,6,1,1,1,1,0,1,0.0,-3140.0,0.0,2.4787930275061685,162910.33333333334,-0.0,2.4787930275061685,159770.33333333334,0.0,True,945
SR-C,8,random_3,bf8b85bee4e86ddd,4,24,0,1,1,1,1,0,1,0.0,-14735.333333333314,0.0,2.4844433746097803,153918.0,-0.0,2.4844433746097803,139182.6666666667,0.0,True,945
