overlay_type,overlay_seed,decision_id,decision_hash,threshold_sensitive_edge_periods,threshold_sensitive_od_periods,vehicle_access_set_changes,allocation_route_changed,allocation_vehicle_changed,allocation_amount_changed,allocation_trips_changed,allocation_pairing_changed,allocation_any_changed,delta_F1,delta_F2,delta_F3,F1,F2,F3,no_ht_F1,no_ht_F2,no_ht_F3,objective_changed,od_periods_considered
SR-C,16,random_2,ca00b230d5e38ba1,6,29,6,1,1,2,1,0,2,-0.0008858965272859898,-360.0,0.0,2.4805680818919034,158888.5,-0.0,2.4796821853646174,158528.5,0.0,True,945
SR-C,16,random_3,ff20240b5d45fc61,8,71,15,1,1,1,1,0,1,0.0,-1599.0,0.0,2.471388652854281,152163.33333333334,-0.0,2.471388652854281,150564.33333333334,0.0,True,945
SR-C,17,spt,ddae15214f6b9fbf,6,83,3,0,0,0,0,0,0,0.0,0.0,0.0,2.482048053464097,185490.0,-0.0,2.482048053464097,185490.0,0.0,False,945
SR-C,17,random_0,d3a0bed4c4e6dbd0,8,85,9,2,3,2,3,0,3,-0.003376412841173959,-11489.333333333343,0.0,2.5097724951317923,180795.66666666666,-0.0,2.5063960822906184,169306.3333333333,0.0,True,945
SR-C,17,random_1,b271ac628b281f6d,9,90,24,2,1,2,2,0,2,0.0017717930545719796,-3012.666666666657,0.0,2.4767048218916976,164559.66666666666,-0.0,2.4784766149462696,161547.0,0.0,True,945
SR-C,17,random_2,40931fe8c3ed4587,10,79,27,2,2,2,2,0,2,0.0010036204464176635,-2194.666666666657,0.0,2.4831115505289807,178567.0,-0.0,2.4841151709753984,176372.33333333334,0.0,True,945
SR-C,17,random_3,4d578f33dbba5b7b,11,114,18,1,2,2,3,0,3,-0.0013288447909283185,-20066.0,0.0,2.519676975804773,204185.66666666666,-0.0,2.5183481310138447,184119.66666666666,0.0,True,945
SR-C,18,spt,43b65d71c40dbb4e,6,48,30,3,3,3,3,0,3,-0.18708511291911645,29114.166666666657,0.0,2.854426063054089,154768.1666666667,-0.0,2.6673409501349727,183882.33333333334,0.0,True,945
SR-C,18,random_0,6e5ac436d6ef0af8,6,79,69,4,4,4,4,0,4,-0.1418414940363828,-10330.0,0.7698883636721803,3.1004940440825672,205146.6666666667,-0.7698883636721803,2.9586525500461844,194816.6666666667,0.0,True,945
SR-C,18,random_1,d0975edcb2e60d60,11,104,73,2,2,2,2,0,2,-0.007853206017070846,-37688.0,0.0,2.5273152738998528,218797.6666666667,-0.0,2.519462067882782,181109.6666666667,0.0,True,945
SR-C,18,random_2,0deb6378d69d8f2d,8,27,9,1,0,1,1,0,1,0.0,-567.0,0.0,2.802002126151666,165694.0,-0.0,2.802002126151666,165127.0,0.0,True,945
SR-C,18,random_3,c451d2674741660a,8,15,3,0,1,0,1,0,1,0.0,-3000.0,0.0,3.7758681785969466,161731.6666666667,-0.0,3.7758681785969466,158731.6666666667,0.0,True,945
SR-C,19,spt,b36a32c10a4acdaa,6,81,39,2,2,2,2,0,2,-0.042346217210278425,-32215.666666666657,0.7205162335485511,2.549402409993185,200976.0,-0.7205162335485511,2.5070561927829065,168760.33333333334,0.0,True,945
SR-C,19,random_0,c81ae81ebc5e1733,9,80,9,1,1,2,1,0,2,-0.0008858965272855457,934.0,0.0,2.7295412646418784,173517.0,-0.0,2.728655368114593,174451.0,0.0,True,945
SR-C,19,random_1,c18af238a154357f,7,91,38,3,3,3,3,0,3,-0.05896471003102555,-30855.0,0.5899750503040195,2.687519158322865,179125.83333333334,-0.5899750503040195,2.6285544482918395,148270.83333333334,0.0,True,945
SR-C,19,random_2,a5e8629af7d34620,4,19,2,1,1,1,1,0,1,0.0,-482.66666666665697,0.0,3.4415570440225522,144708.33333333334,-0.0,3.4415570440225522,144225.6666666667,0.0,True,945
SR-C,19,random_3,9c2bf2f32f438631,6,90,2,1,1,2,2,0,2,-0.00044294826364321693,-8941.666666666657,0.0,2.488928415876357,184604.0,-0.0,2.4884854676127137,175662.33333333334,0.0,True,945
SR-C,20,spt,b389e7e5489e910d,6,18,3,1,1,2,2,0,2,0.00044294826364232875,-149.0,0.0,2.4645334401689,197586.0,-0.7903836755849625,2.464976388432542,197437.0,-0.7903836755849625,True,945
SR-C,20,random_0,8a5e4afc93195970,7,7,5,0,1,0,1,0,1,0.0,-250.0,0.0,5.685387192950207,48397.5,-0.0,5.685387192950207,48147.5,0.0,True,945
SR-C,20,random_1,0c0c06f27d8697f6,8,84,5,0,0,0,0,0,0,0.0,0.0,0.0,3.2537461889343158,174186.0,-0.0,3.2537461889343158,174186.0,0.0,False,945
SR-C,20,random_2,b78a5b218f2091bd,8,34,9,1,2,1,2,0,2,0.0,-7071.666666666657,0.0,2.830344826720305,158630.0,-0.0,2.830344826720305,151558.33333333334,0.0,True,945
SR-C,20,random_3,3bc306d2c2818fc3,8,20,3,0,0,0,0,0,0,0.0,0.0,0.0,2.460377343304083,175273.0,-0.0,2.460377343304083,175273.0,0.0,False,945
