decision_id,period,damage_id,u,v,progress,allowed_vehicle_count,allowed_vehicle_types,threshold_sensitive_edge
spt,7,13,33,34,1.0,4,1|2|3|4,False
spt,7,14,34,35,1.0,4,1|2|3|4,False
spt,7,15,36,37,1.0,4,1|2|3|4,False
spt,8,0,1,17,1.0,4,1|2|3|4,False
spt,8,1,4,5,1.0,4,1|2|3|4,False
spt,8,2,11,12,1.0,4,1|2|3|4,False
spt,8,3,11,18,1.0,4,1|2|3|4,False
spt,8,4,13,14,1.0,4,1|2|3|4,False
spt,8,5,17,19,1.0,4,1|2|3|4,False
spt,8,6,17,22,1.0,4,1|2|3|4,False
spt,8,7,18,25,1.0,4,1|2|3|4,False
spt,8,8,22,24,1.0,4,1|2|3|4,False
spt,8,9,24,30,1.0,4,1|2|3|4,False
spt,8,10,26,28,1.0,4,1|2|3|4,False
spt,8,11,26,34,1.0,4,1|2|3|4,False
spt,8,12,28,29,1.0,4,1|2|3|4,False
spt,8,13,33,34,1.0,4,1|2|3|4,False
spt,8,14,34,35,1.0,4,1|2|3|4,False
spt,8,15,36,37,1.0,4,1|2|3|4,False
spt,9,0,1,17,1.0,4,1|2|3|4,False
spt,9,1,4,5,1.0,4,1|2|3|4,False
spt,9,2,11,12,1.0,4,1|2|3|4,False
spt,9,3,11,18,1.0,4,1|2|3|4,False
spt,9,4,13,14,1.0,4,1|2|3|4,False
spt,9,5,17,19,1.0,4,1|2|3|4,False
spt,9,6,17,22,1.0,4,1|2|3|4,False
spt,9,7,18,25,1.0,4,1|2|3|4,False
spt,9,8,22,24,1.0,4,1|2|3|4,False
spt,9,9,24,30,1.0,4,1|2|3|4,False
spt,9,10,26,28,1.0,4,1|2|3|4,False
spt,9,11,26,34,1.0,4,1|2|3|4,False
spt,9,12,28,29,1.0,4,1|2|3|4,False
spt,9,13,33,34,1.0,4,1|2|3|4,False
spt,9,14,34,35,1.0,4,1|2|3|4,False
spt,9,15,36,37,1.0,4,1|2|3|4,False
random_0,1,0,1,17,0.0,0,,False
random_0,1,1,4,5,0.0,0,,False
random_0,1,2,11,12,0.0,0,,False
random_0,1,3,11,18,0.0,0,,False
random_0,1,4,13,14,0.0,0,,False
random_0,1,5,17,19,0.0,0,,False
random_0,1,6,17,22,0.0,0,,False
random_0,1,7,18,25,0.0,0,,False
random_0,1,8,22,24,0.0,0,,False
random_0,1,9,24,30,0.0,0,,False
random_0,1,10,26,28,0.0,0,,False
random_0,1,11,26,34,0.0,0,,False
random_0,1,12,28,29,0.0,0,,False
random_0,1,13,33,34,0.0,0,,False
random_0,1,14,34,35,0.0,0,,False
random_0,1,15,36,37,0.0,0,,False
random_0,2,0,1,17,0.0,0,,False
random_0,2,1,4,5,0.0,0,,False
random_0,2,2,11,12,1.0,4,1|2|3|4,False
random_0,2,3,11,18,0.0,0,,False
random_0,2,4,13,14,0.0,0,,False
random_0,2,5,17,19,0.027777777777777776,0,,False
random_0,2,6,17,22,1.0,4,1|2|3|4,False
random_0,2,7,18,25,0.0,0,,False
random_0,2,8,22,24,0.0,0,,False
random_0,2,9,24,30,0.0,0,,False
random_0,2,10,26,28,0.6666666666666666,2,1|2,True
random_0,2,11,26,34,0.02857142857142857,0,,False
random_0,2,12,28,29,0.0,0,,False
random_0,2,13,33,34,0.0,0,,False
random_0,2,14,34,35,1.0,4,1|2|3|4,False
random_0,2,15,36,37,0.0,0,,False
random_0,3,0,1,17,0.26666666666666666,0,,False
random_0,3,1,4,5,0.0,0,,False
random_0,3,2,11,12,1.0,4,1|2|3|4,False
random_0,3,3,11,18,0.0,0,,False
random_0,3,4,13,14,0.0,0,,False
random_0,3,5,17,19,0.4722222222222222,1,1,True
random_0,3,6,17,22,1.0,4,1|2|3|4,False
random_0,3,7,18,25,0.0,0,,False
random_0,3,8,22,24,0.0,0,,False
random_0,3,9,24,30,0.0,0,,False
random_0,3,10,26,28,1.0,4,1|2|3|4,False
random_0,3,11,26,34,0.4857142857142857,1,1,True
random_0,3,12,28,29,0.0,0,,False
random_0,3,13,33,34,0.0,0,,False
random_0,3,14,34,35,1.0,4,1|2|3|4,False
random_0,3,15,36,37,0.0,0,,False
random_0,4,0,1,17,0.8,4,1|2|3|4,False
random_0,4,1,4,5,0.0,0,,False
random_0,4,2,11,12,1.0,4,1|2|3|4,False
random_0,4,3,11,18,0.0,0,,False
random_0,4,4,13,14,0.0,0,,False
random_0,4,5,17,19,0.9166666666666666,4,1|2|3|4,False
random_0,4,6,17,22,1.0,4,1|2|3|4,False
random_0,4,7,18,25,0.0,0,,False
random_0,4,8,22,24,0.0,0,,False
random_0,4,9,24,30,0.0,0,,False
random_0,4,10,26,28,1.0,4,1|2|3|4,False
random_0,4,11,26,34,0.9428571428571428,4,1|2|3|4,False
random_0,4,12,28,29,0.0,0,,False
random_0,4,13,33,34,0.0,0,,False
random_0,4,14,34,35,1.0,4,1|2|3|4,False
random_0,4,15,36,37,0.0,0,,False
random_0,5,0,1,17,1.0,4,1|2|3|4,False
random_0,5,1,4,5,1.0,4,1|2|3|4,False
random_0,5,2,11,12,1.0,4,1|2|3|4,False
random_0,5,3,11,18,1.0,4,1|2|3|4,False
random_0,5,4,13,14,0.0,0,,False
random_0,5,5,17,19,1.0,4,1|2|3|4,False
random_0,5,6,17,22,1.0,4,1|2|3|4,False
random_0,5,7,18,25,1.0,4,1|2|3|4,False
random_0,5,8,22,24,0.1111111111111111,0,,False
random_0,5,9,24,30,0.2222222222222222,0,,False
random_0,5,10,26,28,1.0,4,1|2|3|4,False
random_0,5,11,26,34,1.0,4,1|2|3|4,False
random_0,5,12,28,29,0.0,0,,False
random_0,5,13,33,34,1.0,4,1|2|3|4,False
random_0,5,14,34,35,1.0,4,1|2|3|4,False
random_0,5,15,36,37,0.36363636363636365,1,1,True
random_0,6,0,1,17,1.0,4,1|2|3|4,False
random_0,6,1,4,5,1.0,4,1|2|3|4,False
random_0,6,2,11,12,1.0,4,1|2|3|4,False
random_0,6,3,11,18,1.0,4,1|2|3|4,False
random_0,6,4,13,14,0.375,1,1,True
random_0,6,5,17,19,1.0,4,1|2|3|4,False
random_0,6,6,17,22,1.0,4,1|2|3|4,False
random_0,6,7,18,25,1.0,4,1|2|3|4,False
random_0,6,8,22,24,0.7037037037037037,3,1|2|3,True
random_0,6,9,24,30,1.0,4,1|2|3|4,False
random_0,6,10,26,28,1.0,4,1|2|3|4,False
random_0,6,11,26,34,1.0,4,1|2|3|4,False
random_0,6,12,28,29,0.0,0,,False
random_0,6,13,33,34,1.0,4,1|2|3|4,False
random_0,6,14,34,35,1.0,4,1|2|3|4,False
random_0,6,15,36,37,1.0,4,1|2|3|4,False
random_0,7,0,1,17,1.0,4,1|2|3|4,False
random_0,7,1,4,5,1.0,4,1|2|3|4,False
random_0,7,2,11,12,1.0,4,1|2|3|4,False
random_0,7,3,11,18,1.0,4,1|2|3|4,False
random_0,7,4,13,14,1.0,4,1|2|3|4,False
random_0,7,5,17,19,1.0,4,1|2|3|4,False
random_0,7,6,17,22,1.0,4,1|2|3|4,False
random_0,7,7,18,25,1.0,4,1|2|3|4,False
random_0,7,8,22,24,1.0,4,1|2|3|4,False
random_0,7,9,24,30,1.0,4,1|2|3|4,False
random_0,7,10,26,28,1.0,4,1|2|3|4,False
